,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
49,בני ברק,אברבנאל 70,3,666.0,100.0,0,none,none,none,none,none,none,1700000,"1,620,000",1333000,none,none,none,none,none
50,בני ברק,אברבנאל 73,3,75.0,1.0,1970,"1,140,000",none,none,none,none,none,none,none,none,none,none,none,none,none
51,בני ברק,אברבנאל 77,3,69.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,"1,770,000",none,none,none
52,בני ברק,אברבנאל 78,3,660.0,2.0,2011,none,none,"780,000",none,"1,050,000",none,none,none,none,none,1600000,none,none,none
53,בני ברק,אברבנאל 79,3,77.0,3.0,1974,none,"1,020,000",none,none,none,none,none,none,none,none,none,none,none,none
54,בני ברק,אברבנאל 8,3,58.0,3.0,1970,none,"1,000,000",none,none,none,none,none,none,none,none,none,none,none,none
55,בני ברק,אברבנאל 83,3,649.0,3.0,1960,none,none,none,none,none,none,none,"1,050,000",none,1385000,none,none,none,none
56,בני ברק,אברבנאל 85,3,659.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,2050000,none
57,בני ברק,אברבנאל 89,3,40.0,2.0,2007,none,none,none,none,"1,050,000",none,none,none,none,none,none,none,none,none
58,בני ברק,אברבנאל 9,3,679.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1700000,none,none
59,בני ברק,אברבנאל 95,3,654.0,100.0,0,none,"915,000",none,981500,none,none,none,1420000,none,none,none,1450000,none,none
60,בני ברק,אברבנאל 98,3,672.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1514000,none,1800000
61,בני ברק,אברבנאל 99,3,662.0,100.0,0,none,none,none,none,"1,063,000",none,none,none,none,none,none,1580000,none,none
62,בני ברק,אהרונוביץ 59,3,71.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,"1,510,000",none,none,none
63,בני ברק,אהרונסון 1,3,51.0,2.0,1965,none,"1,070,000",none,none,none,none,none,none,none,none,none,none,none,none
64,בני ברק,אהרונסון 10,3,654.0,100.0,0,none,none,none,none,none,none,none,none,1655000,none,1920000,none,none,2220000
65,בני ברק,אהרונסון 11,3,659.0,3.0,1970,none,none,none,1212500,"1,400,000",none,none,none,none,none,1700000,1750000,none,none
66,בני ברק,אהרונסון 13,3,658.0,100.0,0,none,none,none,none,none,none,none,1700000,none,none,none,none,none,none
67,בני ברק,אהרונסון 2,3,60.0,,1965,none,none,none,none,"1,100,000",none,none,none,none,none,none,none,none,none
68,בני ברק,אהרונסון 23,3,670.0,100.0,0,none,none,none,none,none,none,none,none,1375000,none,none,none,none,none
69,בני ברק,אהרונסון 3,3,85.0,3.0,1960,none,none,none,none,none,none,none,none,none,"1,670,000",none,none,none,none
70,בני ברק,אהרונסון 4,3,658.0,3.0,1960,"1,230,000",none,"1,260,000",none,none,none,none,none,none,1750000,none,none,none,none
71,בני ברק,אהרונסון 5,3,650.0,100.0,0,none,none,none,none,none,none,1700000,1700000,none,none,none,2200000,none,none
72,בני ברק,אהרונסון 6,3,650.0,100.0,0,none,none,none,none,none,none,none,1495000,none,none,none,none,none,none
73,בני ברק,אהרונסון 7,3,650.0,100.0,0,"1,170,000",none,none,none,none,1500000,none,none,none,none,none,1550000,2100000,none
74,בני ברק,אונקלוס 1,3,676.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,2075000,none
75,בני ברק,אוסישקין 19,3,659.0,100.0,0,none,none,none,none,"1,200,000",none,1398000,1370000,none,1500000,1400000,none,none,none
76,בני ברק,אוסישקין 2,3,72.0,3.0,1980,none,"970,000",none,"890,000",none,none,none,none,none,none,none,none,none,none
77,בני ברק,אוסישקין 22,3,70.0,2.0,2011,none,"900,000","900,000",none,none,none,none,none,none,none,none,none,none,none
78,בני ברק,אוסישקין 23,3,654.0,100.0,0,none,none,none,"1,015,000",none,none,none,none,1250000,none,none,none,1666000,none
79,בני ברק,אוסישקין 3,3,670.0,3.0,2009,none,"800,000",none,none,"1,100,000",none,none,1450000,none,1480000,none,1400000,none,none
80,בני ברק,אוסישקין 5,3,642.0,100.0,0,none,none,none,none,none,none,none,1240000,none,none,none,none,1901500,none
81,בני ברק,אוסישקין 8,3,656.0,100.0,0,none,"1,450,000","1,483,050",none,none,850000,none,none,none,1566666,1620000,none,none,none
82,בני ברק,אורליאן 13,3,693.0,100.0,0,none,none,none,none,none,none,none,none,none,none,1950000,none,none,none
83,בני ברק,אורליאן 16,3,659.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1550000,none
84,בני ברק,אורליאן 19,3,640.0,100.0,0,none,none,none,none,"1,050,000",none,none,none,none,none,none,1730000,600000,none
85,בני ברק,אורליאן 21,3,677.0,1.0,1960,none,none,none,none,none,"1,300,000",none,"1,350,000",none,none,none,1640000,none,none
86,בני ברק,אורליאן 24,3,687.0,100.0,0,none,none,none,none,none,none,none,none,none,none,2170000,none,none,none
87,בני ברק,אורליאן 5,3,95.0,2.0,1970,none,none,none,none,none,none,none,none,"1,750,000",none,none,none,none,none
88,בני ברק,אורליאן 6,3,645.0,3.0,1970,none,none,none,none,none,none,1680000,none,none,none,none,none,none,none
89,בני ברק,אורליאן 9,3,696.0,100.0,0,none,none,none,none,none,none,1690000,none,1750000,none,none,none,none,none
90,בני ברק,אזר 3,3,80.0,3.0,1960,none,none,none,none,none,"1,250,000",none,none,none,none,none,none,none,none
91,בני ברק,אזר 7,3,646.0,100.0,0,none,none,none,none,none,none,none,none,1560000,none,none,none,2040000,none
92,בני ברק,אזר 8,3,658.0,100.0,0,none,none,none,none,none,none,none,none,1380000,none,none,none,1850000,none
93,בני ברק,אחיעזר 1,3,695.0,100.0,0,none,none,"1,250,000",none,none,none,none,1570000,1700000,none,1700000,1725000,1770000,none
94,בני ברק,אינשטין 11,3,670.0,100.0,0,none,none,none,none,none,"950,000",none,none,none,3363000,"1,100,000",none,1400000,none
95,בני ברק,אינשטין 13,3,50.0,1.0,1970,none,none,none,none,none,none,none,none,"3,012,048","3,333,333",none,none,none,none
96,בני ברק,אינשטין 4,3,45.0,,1958,"890,000",none,none,none,none,none,none,none,none,none,none,none,none,none
97,בני ברק,אינשטין 9,3,65.0,2.0,2022,none,none,none,none,none,none,none,none,none,none,"1,100,000",none,none,none
98,בני ברק,אלחריזי 1,3,69.0,1.0,1970,"1,145,000",none,none,none,none,none,none,none,none,none,none,none,none,none
99,בני ברק,אלחריזי 2,3,62.0,1.0,1969,"1,101,102","1,330,000",none,none,none,none,none,none,none,none,none,none,none,none
100,בני ברק,אלחריזי 4,3,70.0,2.0,1960,none,none,none,none,none,none,"1,470,000",none,none,none,none,none,none,none
101,בני ברק,אלחריזי 7,3,70.0,2.0,1975,"1,050,000",none,none,"1,300,000",1385000,none,none,none,none,none,none,none,none,none
102,בני ברק,אלישע 12,3,665.0,100.0,0,none,none,none,none,none,none,none,1600000,none,none,none,none,none,none
103,בני ברק,אלישע 14,3,657.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1900000,none
104,בני ברק,אלישע 145,3,70.0,2.0,1960,none,none,"1,115,000",none,none,none,none,none,none,none,none,none,none,none
105,בני ברק,אלישע 15,3,662.0,100.0,0,none,none,none,none,none,none,none,none,1680000,none,none,none,none,none
106,בני ברק,אלישע 17,3,61.0,1.0,1970,none,none,"1,270,000",none,none,none,none,none,none,none,none,none,none,none
