,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
50,ירושלים,אברבנאל 31,3,664.0,2.0,1950,none,none,none,"2,500,000","2,050,000",none,none,none,none,none,"2,700,000",2950000,2912000,none
51,ירושלים,אברבנאל 4,3,60.0,,1940,1757288,none,none,none,none,none,none,none,none,none,none,none,none,none
52,ירושלים,אברבנאל 6,3,64.0,3.0,1990,none,none,none,"980,000",none,none,none,none,none,none,none,none,none,none
53,ירושלים,אברמסקי 18,3,69.0,,2002,none,none,"1,348,000",none,none,none,none,none,none,none,none,none,none,none
54,ירושלים,אגמון 1,3,59.0,2.0,1990,"850,000",none,"850,000",none,"1,110,000",none,none,none,none,none,"1,310,000",none,none,none
55,ירושלים,אגמון 3,3,659.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,1305000,1550000,780000
56,ירושלים,אגן 12,3,90.0,4.0,2013,none,none,none,none,"2,985,000",2645340,"3,125,000",none,none,none,none,none,none,none
57,ירושלים,אגן 21,3,88.0,5.0,2013,none,none,none,none,none,none,none,"2,700,000",none,none,none,none,none,none
58,ירושלים,אגן 30,3,87.0,8.0,2013,none,none,none,none,none,"2,677,000",none,none,none,none,none,none,none,none
59,ירושלים,אגן 63,3,93.0,7.0,2013,none,none,none,none,none,none,none,"2,800,000",none,none,none,none,none,none
60,ירושלים,אגסי 14,3,62.0,,1986,none,none,"1,350,000",none,none,none,none,none,none,none,none,none,none,none
61,ירושלים,אגסי 26,3,74.0,7.0,1996,none,none,"1,950,000",none,none,none,none,none,none,none,none,none,none,none
62,ירושלים,אגסי 32,3,112.0,6.0,1985,none,none,none,none,none,none,"2,202,201",none,none,none,none,none,none,none
63,ירושלים,אגרון 1,3,113.0,,2012,none,none,"8,714,802",none,none,none,none,none,none,none,none,none,none,none
64,ירושלים,אגרון 22,3,80.0,,1970,none,"3,278,250",none,none,none,none,none,none,none,none,none,none,none,none
65,ירושלים,אגרון 24,3,104.0,1.0,1960,"3,881,130",none,none,none,none,none,none,none,none,none,none,none,none,none
66,ירושלים,אגרון 26,3,75.0,,1926,none,none,none,none,"3,000,000",none,none,none,none,none,none,none,none,none
67,ירושלים,אגרון 3,3,157.0,,2012,none,none,"9,285,030",none,none,none,none,none,none,none,none,none,none,none
68,ירושלים,אגריפס 105,3,80.0,2.0,1940,"700,000",none,none,none,none,none,none,none,none,none,none,none,none,none
69,ירושלים,אגריפס 11,3,54.0,,1970,none,none,"1,115,000",none,none,none,none,none,none,none,none,none,none,none
70,ירושלים,אגריפס 12,3,75.0,1.0,1980,"1,450,000",none,none,none,none,none,none,none,none,none,none,none,none,none
71,ירושלים,אגריפס 14,3,94.0,2.0,2015,none,none,none,"2,230,000","2,435,000",none,none,none,none,none,none,none,none,none
72,ירושלים,אגריפס 40,3,69.0,6.0,2005,"1,625,000",none,"1,960,000",1625000,"1,280,000","2,000,000",none,"2,480,000",none,none,none,none,none,none
73,ירושלים,אגריפס 6,3,692.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,2995807,3432333,none
74,ירושלים,אגריפס 62,3,65.0,2.0,1935,none,none,none,none,none,"775,000",none,none,none,none,none,none,none,none
75,ירושלים,אגריפס 69,3,63.0,2.0,2014,none,none,none,none,none,none,"1,700,000",none,none,none,none,none,none,none
76,ירושלים,אגריפס 70,3,50.0,1.0,1950,"1,300,000",none,none,none,none,none,none,none,none,none,none,none,none,none
77,ירושלים,אגריפס 72,3,659.0,100.0,0,none,none,none,none,none,"630,000",none,none,none,none,none,405000,none,none
78,ירושלים,אגריפס 73,3,42.0,,1970,none,"1,050,000",none,none,none,none,none,none,none,none,none,none,none,none
79,ירושלים,אגריפס 88,3,104.0,3.0,2011,none,"2,500,000","2,750,000","2,700,000",none,"1,600,000",none,none,none,none,none,none,none,none
80,ירושלים,אדהאן 22,3,103.0,1.0,1980,none,1415880,none,none,none,none,none,none,none,none,none,none,none,none
81,ירושלים,אדם,3,65.0,4.0,1982,926250,1038805,"1,070,000",1042500,1250000,"1,140,000",1190220,"1,240,000",none,none,"1,410,000",none,none,none
82,ירושלים,אדם 1,3,665.0,100.0,0,"980,000",none,"880,000",none,none,none,none,none,none,none,"1,300,000",1480000,none,none
83,ירושלים,אדם 11,3,663.0,100.0,0,"1,100,000",none,none,none,none,none,none,none,none,none,none,1437000,none,none
84,ירושלים,אדם 12,3,70.0,2.0,1989,none,none,none,"1,060,000",none,none,none,none,none,none,none,none,none,none
85,ירושלים,אדם 14,3,663.0,5.0,1970,none,none,none,none,"1,110,000",none,none,none,none,none,none,none,1460000,none
86,ירושלים,אדם 15,3,665.0,100.0,0,none,none,none,"1,330,000",none,none,none,none,none,none,none,1417500,none,none
87,ירושלים,אדם 16,3,63.0,,1980,none,"1,000,000",none,"1,000,000",none,none,none,none,none,none,none,none,none,none
88,ירושלים,אדם 17,3,65.0,3.0,1983,none,none,none,"1,080,000",none,"1,200,000",none,none,none,none,none,none,none,none
89,ירושלים,אדם 19,3,665.0,100.0,0,none,none,none,none,none,"1,340,000",none,none,none,none,none,1500000,1610000,none
90,ירושלים,אדם 21,3,63.0,,2000,"970,000",none,none,none,none,none,none,none,none,none,"1,410,000",none,none,none
91,ירושלים,אדם 24,3,61.0,3.0,1984,"733,000",none,none,none,none,none,none,none,none,none,none,none,none,none
92,ירושלים,אדם 3,3,63.0,2.0,1982,none,none,none,none,none,none,none,none,"1,325,000",none,none,none,none,none
93,ירושלים,אדם 35,3,75.0,,1986,"905,000",none,none,none,"1,170,000",none,"1,250,000",none,none,none,none,none,none,none
94,ירושלים,אדם 37,3,663.0,100.0,0,none,none,none,"985,000","1,000,000",none,none,"1,200,000",none,none,none,none,1650000,none
95,ירושלים,אדם 39,3,63.0,1.0,1987,none,none,none,"1,075,000",none,none,none,none,none,none,none,none,none,none
96,ירושלים,אדם 41,3,63.0,,1988,"860,000",none,none,"1,100,000",1142500,none,none,none,none,none,none,none,none,none
97,ירושלים,אדם 45,3,663.0,100.0,0,none,none,none,none,none,none,none,none,"1,300,000",none,none,none,1400000,none
98,ירושלים,אדם 47,3,63.0,4.0,1975,none,none,none,none,"1,080,000",none,none,none,none,none,none,none,none,none
99,ירושלים,אדם 49,3,58.0,4.0,1975,none,none,none,none,"1,170,000",none,none,none,none,none,none,none,none,none
100,ירושלים,אדם 5,3,63.0,,1983,none,"1,020,000",none,none,none,none,none,"1,373,000",none,none,none,none,none,none
101,ירושלים,אדם 51,3,663.0,5.0,1980,none,none,"1,090,000",none,none,none,none,none,none,none,none,none,2055000,none
102,ירושלים,אדם 6,3,63.0,,1989,"1,050,000",none,none,none,"1,190,000",none,none,none,none,none,none,none,none,none
103,ירושלים,אדם 614,3,665.0,100.0,0,none,none,none,none,none,none,none,none,none,none,none,none,1480000,none
