,sale_day,city,adress,floor,size,price
73,12.01.2023,תל אביב-יפו,שפירא צבי 3,שניה,72.33,"5,250,000"
74,11.01.2023,תל אביב-יפו,בן שטח שמעון 4,שניה,56.90,"730,000"
75,11.01.2023,תל אביב-יפו,"מזא""ה 3",שניה,86.50,"1,604,000"
76,09.01.2023,תל אביב-יפו,אלתרמן נתן 6,ראשונה,52,"4,015,000"
77,08.01.2023,תל אביב-יפו,תוצרת הארץ 5,עשרים וחמש,72,"3,880,000"
78,08.01.2023,תל אביב-יפו,יהודה הימית 25,ראשונה,80,"4,400,000"
79,08.01.2023,תל אביב-יפו,אלתרמן נתן 6, ,104,"4,015,000"
80,07.01.2023,תל אביב-יפו,תוצרת הארץ 5, ,72,"3,880,000"
81,05.01.2023,תל אביב-יפו,ששת הימים 2,שלישית,63,"2,230,000"
82,05.01.2023,תל אביב-יפו,בן יהודה 59,שביעית,75,"4,125,000"
83,04.01.2023,תל אביב-יפו,בן יהודה 59,רביעית,75,"4,125,000"
84,04.01.2023,תל אביב-יפו,אבן גבירול 74,שניה,75.50,"4,600,000"
85,04.01.2023,תל אביב-יפו,יגור 16,שלישית,56,"3,515,000"
86,02.01.2023,תל אביב-יפו,טשרניחובסקי 1,שניה,61,"4,216,885"
87,02.01.2023,תל אביב-יפו,פנקס 24,שביעית,62,"4,655,000"
88,31.12.2022,תל אביב-יפו,"ציהתל""י 49",שלישית,47,"1,900,000"
89,29.12.2022,תל אביב-יפו,יהודה הימית 8,קרקע,99,"4,298,000"
90,29.12.2022,תל אביב-יפו,בן יהודה 62,רביעית,71,"4,220,000"
91,29.12.2022,תל אביב-יפו,מלצ'ט 18,ראשונה,64,"3,980,000"
92,28.12.2022,תל אביב-יפו,אשרמן יוסף 13,שלישית,47,"2,900,000"
93,28.12.2022,תל אביב-יפו,הר נבו 11,ראשונה,68,"1,725,912"
94,27.12.2022,תל אביב-יפו,מלצ'ט 57,קומה 1,69,"4,950,000"
95,27.12.2022,תל אביב-יפו,האסיף 10,רביעית,64.20,"2,561,000"
96,27.12.2022,תל אביב-יפו,רח 1184 4,עשרים ושמונה,98,"6,570,000"
97,27.12.2022,תל אביב-יפו, , ,69,"3,560,000"
98,27.12.2022,תל אביב-יפו,ויצמן 11,עמודים,37,"5,388,000"
99,27.12.2022,תל אביב-יפו,קלמר משה 3,קרקע,61,"3,050,000"
100,26.12.2022,תל אביב-יפו,מרים החשמונאית 14,שניה,70.60,"2,072,500"
101,26.12.2022,תל אביב-יפו,משגב עם 16,רביעית,54.15,"2,500,000"
102,26.12.2022,תל אביב-יפו,חכמי קירואן 7, ,82,"5,388,000"
103,26.12.2022,תל אביב-יפו,הלסינקי 15,קומה 0,40,"6,000,000"
104,26.12.2022,תל אביב-יפו,הר נבו 11,ראשונה,82,"1,949,245"
105,26.12.2022,תל אביב-יפו,פרץ י ל 11,שלישית,72,"593,000"
106,25.12.2022,תל אביב-יפו,בני דן 68,שלישית,47.70,"90,000"
107,22.12.2022,תל אביב-יפו,קיוסו אלברט 3,שביעית,62.40,"2,400,000"
108,22.12.2022,תל אביב-יפו,בארט 5,שלישית,108,"2,637,500"
109,19.12.2022,תל אביב-יפו,סלע יעקב 1,חמישית,77.80,"2,755,000"
110,19.12.2022,תל אביב-יפו,גר צדק 5,שניה,68.50,"3,150,000"
