,sale_day,city,adress,floor,size,price
82,29.01.2023,חיפה,דניאל 5,קרקע,76.87,"830,000"
83,29.01.2023,חיפה,פיכמן יעקב 18, ,62,"1,510,000"
84,27.01.2023,חיפה,ארלוזורוב 96,קרקע,63.70,"890,000"
85,27.01.2023,חיפה,חניתה 54,שניה,70.72,"970,000"
86,26.01.2023,חיפה,אלנבי 127,חמש עשרה,59.70,"540,000"
87,26.01.2023,חיפה,שרת משה 74,שניה,60,"1,005,000"
88,26.01.2023,חיפה,הלל 20,ראשונה,74,"1,100,000"
89,26.01.2023,חיפה,יד לבנים 189,ראשונה,90.60,"1,200,000"
90,26.01.2023,חיפה,הבישוף חג'אר 4,שניה,64.50,"800,000"
91,26.01.2023,חיפה, ,ראשונה,82,"2,050,000"
92,25.01.2023,חיפה,שניאור זלמן 20,שלישית,51.98,"1,090,000"
93,25.01.2023,חיפה,השיירה 28,ראשונה,84.35,"1,300,000"
94,25.01.2023,חיפה,אבן סינא 18,ראשונה,73.75,"780,000"
95,25.01.2023,חיפה,"מח""ל 41",רביעית,46.20,"1,420,000"
96,25.01.2023,חיפה,חטיבת כרמלי 40,רביעית,57,"800,000"
97,25.01.2023,חיפה,פינסקי דוד 34,קרקע,59.50,"1,480,000"
98,25.01.2023,חיפה,חביבה רייך 53,שניה,69.72,"1,080,000"
99,25.01.2023,חיפה,שדה בוקר 9,ראשונה,60.10,"1,440,000"
100,25.01.2023,חיפה,"עפרון ד""ר 5",ראשונה,77,"1,850,000"
101,25.01.2023,חיפה,צופית 16,שניה,78,"700,000"
102,24.01.2023,חיפה,מיכאל 35,קרקע,59.90,"850,000"
103,24.01.2023,חיפה,החשמל 10,רביעית,54.30,"465,000"
104,24.01.2023,חיפה,השיירה 28, ,63,"1,300,000"
105,24.01.2023,חיפה,חניתה 5,ראשונה,76.80,"1,565,000"
106,24.01.2023,חיפה,רוטשילד 61,ראשונה,62.68,"1,093,000"
107,24.01.2023,חיפה,הנביאים 29,שניה,43.02,"580,000"
108,23.01.2023,חיפה,טשרניחובסקי 63,שלישית,73.97,"1,480,000"
109,22.01.2023,חיפה,הקלעים 11,ראשונה,51.40,"1,370,000"
110,22.01.2023,חיפה,הרב הרצוג 8,ראשונה,66.15,"990,000"
111,22.01.2023,חיפה,בורלא יהודה 28,ראשונה,51.90,"1,120,000"
112,22.01.2023,חיפה,החיננית 4,ראשונה,62.30,"341,000"
113,22.01.2023,חיפה,רבי יהודה הנשיא 2,קרקע,75.58,"1,558,000"
114,22.01.2023,חיפה,מרסיי 9,חמישית,74,"1,360,000"
115,22.01.2023,חיפה,העליה השניה 21,שלישית,42.13,"521,000"
116,22.01.2023,חיפה,מרסיי 9,חמישית,74,"1,315,000"
117,21.01.2023,חיפה,מרסיי 9, ,74,"1,360,000"
118,21.01.2023,חיפה,מרסיי 9, ,74,"1,315,000"
119,19.01.2023,חיפה,בנין זאב 13,שלישית,53.34,"740,000"
120,19.01.2023,חיפה,שניאור זלמן 17,שניה,46.50,"1,230,000"
121,19.01.2023,חיפה,אושה 6,שלישית,73,"780,000"
122,19.01.2023,חיפה,סילבר אבא הלל 111,שתים עשרה,67.40,"1,100,000"
123,19.01.2023,חיפה, ,שניה,72,"1,933,000"
124,19.01.2023,חיפה,צופית 20,ראשונה,60,"1,550,000"
125,19.01.2023,חיפה, , ,75,"1,200,000"
126,19.01.2023,חיפה,יציאת אירופה 22,ראשונה,53.63,"1,160,000"
127,19.01.2023,חיפה,בורלא יהודה 24,חמישית,59.80,"970,000"
128,19.01.2023,חיפה,הנדיב 15,שניה,82,"2,650,000"
129,18.01.2023,חיפה,ז'ורס 40,חמישית,53.63,"980,000"
130,18.01.2023,חיפה,אינטרנשיונל 54,קרקע,85,"1,650,000"
131,18.01.2023,חיפה,חלמיש 6,שלישית,90,"1,500,000"
132,18.01.2023,חיפה,אחוה 24,ראשונה,55.24,"1,060,000"
133,18.01.2023,חיפה,מרסיי 9, ,76,"1,460,000"
