,sale_day,city,adress,floor,size,price
85,01.01.2023,נתניה,שפירא אברהם 16,שניה,69,"1,800,000"
86,01.01.2023,נתניה,מוצקין 10,שניה,55.60,"1,600,000"
87,30.12.2022,נתניה,ויצמן 86,שלישית,79,"2,055,000"
88,29.12.2022,נתניה,סטופ 3,שמינית,62.56,"1,570,000"
89,29.12.2022,נתניה,ויצמן 86,שישית,79,"2,130,000"
90,29.12.2022,נתניה,שפירא משה 3,ראשונה,74.10,"850,000"
91,29.12.2022,נתניה,ויצמן 86, ,79,"2,050,000"
92,29.12.2022,נתניה,החשמונאים 9,חמישית,96,"2,470,000"
93,28.12.2022,נתניה,גולדה מאיר 4,שמינית,63.20,"1,615,000"
94,28.12.2022,נתניה,ויצמן 86, ,79,"2,125,000"
95,27.12.2022,נתניה,טרומפלדור 18,רביעית,52.44,"1,600,000"
96,27.12.2022,נתניה,שמואל הנציב 18,שלישית,70,"1,700,000"
97,27.12.2022,נתניה, ,ראשונה,81,"2,080,000"
98,27.12.2022,נתניה,סוקולוב 46,שניה,77.07,"1,730,000"
99,26.12.2022,נתניה,הנוטע 14,שלישית,56.64,"700,000"
100,26.12.2022,נתניה,ויצמן 86,חמישית,79,"2,115,000"
101,25.12.2022,נתניה,ויצמן 86, ,79,"2,110,000"
102,22.12.2022,נתניה,ראש פנה 4,ראשונה,75,"2,100,000"
103,22.12.2022,נתניה,נורדאו 9,קומה 1,78.50,"2,100,000"
104,21.12.2022,נתניה,סמילנסקי 30,שישית,96.18,"2,530,000"
105,21.12.2022,נתניה, ,שמינית,81,"2,185,000"
106,19.12.2022,נתניה,"רמב""ם 24",שמינית,69.70,"1,850,000"
107,19.12.2022,נתניה,גולדה מאיר 14,שישית,64.40,"1,640,000"
108,19.12.2022,נתניה,ויצמן 103,ראשונה,71,"1,580,000"
109,19.12.2022,נתניה,קצנלסון יצחק 12,קרקע,45.82,"1,420,000"
110,18.12.2022,נתניה,משמר הירדן 18,ראשונה,65.54,"2,135,000"
