,sale_day,city,adress,floor,size,price
80,28.12.2022,אשדוד,תל חי 42,שניה,83,"2,132,000"
81,26.12.2022,אשדוד,"האצ""ל 8",שמינית,74.45,"1,570,000"
82,26.12.2022,אשדוד,הציונות 45,חמישית,90,"1,820,000"
83,25.12.2022,אשדוד,הר כנען 5,שלישית,62,"1,840,000"
84,25.12.2022,אשדוד,הנביא עמוס 17,שניה,62.7,"622,000"
85,25.12.2022,אשדוד,קרן היסוד 5,שלישית,64.6,"442,000"
86,25.12.2022,אשדוד,שועלי שמשון 10,קרקע,52,"538,000"
87,22.12.2022,אשדוד,ארלוזורוב 23,שלישית,90,"1,900,000"
88,21.12.2022,אשדוד,עוזיהו 22,קרקע,51.3,"1,200,000"
89,20.12.2022,אשדוד,"אח""י אילת 14",ראשונה,33,"2,050,000"
90,20.12.2022,אשדוד,בן יוסף שלמה 19,רביעית,75.3,"1,850,000"
91,19.12.2022,אשדוד,הרב אלקלעי 5,רביעית,72.6,"1,800,000"
92,19.12.2022,אשדוד,ז'בוטינסקי 14,שניה,49.6,"1,590,000"
93,19.12.2022,אשדוד,הרב אלקלעי 5,שניה,70.1,"1,660,000"
94,19.12.2022,אשדוד,יהודה המכבי 21,חמישית,76,"1,675,000"
95,18.12.2022,אשדוד,קדרון 14,שניה,69.04,"1,875,000"
96,18.12.2022,אשדוד,אחד העם 18,רביעית,69.01,"1,605,000"
97,18.12.2022,אשדוד,הנרקיס 11,חמישית,62.8,"1,680,000"
98,18.12.2022,אשדוד,מיכשוילי 24,שניה,57.9,"2,025,000"
99,15.12.2022,אשדוד,החרצית 6,רביעית,64.3,"1,800,000"
100,15.12.2022,אשדוד,הרב אבן דנן 5,רביעית,60.2,"1,600,000"
101,14.12.2022,אשדוד,המעפילים 1,ראשונה,63.43,"1,650,000"
102,13.12.2022,אשדוד,חטיבת הנגב 24,ראשונה,52,"1,330,000"
103,13.12.2022,אשדוד,"הפלמ""ח 9",שניה,63,"1,520,000"
104,12.12.2022,אשדוד,מאיר בעל הנס 5,שלישית,67.96,"3,400,000"
105,12.12.2022,אשדוד,ציזלינג 6,ראשונה,42.3,"1,500,000"
106,11.12.2022,אשדוד,גור דב 43,שניה,49.5,"1,850,000"
107,11.12.2022,אשדוד,גיא אוני 2,תשיעית,97,"1,650,000"
108,08.12.2022,אשדוד,שבי ציון 23,ראשונה,74.6,"1,470,000"
109,08.12.2022,אשדוד,בן יוסף שלמה 29,שביעית,74,"1,670,000"
110,07.12.2022,אשדוד,"הפלמ""ח 9",שלישית,63,"1,430,000"
111,07.12.2022,אשדוד,הרימון 6,עשירית,84.8,"2,120,000"
112,07.12.2022,אשדוד,פתח תקווה 9,שלישית,83,"1,680,000"
113,06.12.2022,אשדוד,חטיבת הנגב 23,שלישית,67.5,"1,761,000"
114,06.12.2022,אשדוד,שבי ציון 23,שלישית,74.6,"1,540,000"
115,05.12.2022,אשדוד,"אדמו""ר מפיטסבורג 45",רביעית,61,"1,745,000"
116,05.12.2022,אשדוד,הגומא 12,שלישית,61.1,"1,590,000"
117,05.12.2022,אשדוד,הנורית 6,שניה,60.8,"1,680,000"
118,05.12.2022,אשדוד,אבן עזרא 10,שלישית,64.24,"1,580,000"
119,05.12.2022,אשדוד, ,שלישית,81,"2,370,000"
120,05.12.2022,אשדוד,עוזיהו 13,ראשונה,63.5,"1,550,000"
121,05.12.2022,אשדוד, ,שישית,75,"2,175,000"
122,05.12.2022,אשדוד,סיגל 7,שביעית,65,"1,680,000"
123,04.12.2022,אשדוד,אחד העם 12,שלישית,66.21,"1,580,000"
124,04.12.2022,אשדוד,המלך אסא 10,שניה + גג,63,"1,580,000"
125,04.12.2022,אשדוד,המלך רחבעם 4,ראשונה,57.76,"1,750,000"
126,04.12.2022,אשדוד,הראשונים 34,שלישית,40.7,"1,280,000"
127,04.12.2022,אשדוד,"הפלמ""ח 34",ראשונה,100.1,"2,250,000"
128,04.12.2022,אשדוד,גור דב 11,רביעית,80.7,"1,370,000"
129,01.12.2022,אשדוד,הרותם 14,ראשונה,61.7,"1,000,000"
130,01.12.2022,אשדוד,שבי ציון 41,שישית,68.68,"1,450,000"
131,01.12.2022,אשדוד,המעפילים 11,קומה 0,66,"1,490,000"
132,01.12.2022,אשדוד,המעפילים 3,רביעית,80,"1,200,000"
133,01.12.2022,אשדוד,"הפלמ""ח 2",שלישית,63.1,"634,000"
134,01.12.2022,אשדוד,חסן ובן גרה 6,רביעית,49,"380,000"
135,30.11.2022,אשדוד,חטיבת כרמלי 4,שניה,52,"1,400,000"
136,29.11.2022,אשדוד,הבעל שם טוב 8,רביעית,60.2,"1,860,000"
137,29.11.2022,אשדוד,החובלים 4,קרקע,55,"1,300,000"
138,29.11.2022,אשדוד,יהודה המכבי 6,רביעית,61.9,"1,520,000"
139,29.11.2022,אשדוד,ז'בוטינסקי 26,שניה,54.3,"1,400,000"
140,28.11.2022,אשדוד,שבי ציון 23,רביעית,74.6,"1,550,000"
141,28.11.2022,אשדוד,"רמב""ם 7",שביעית,59,"1,450,000"
142,28.11.2022,אשדוד,הדקל 9,עשרים ושמונה,84,"2,450,000"
143,28.11.2022,אשדוד,עוזיהו 13,שניה,63.5,"1,450,000"
144,27.11.2022,אשדוד,מיכשוילי 34,שלישית,57.9,"1,830,000"
145,27.11.2022,אשדוד,יהודה המכבי 21,שישית,75,"1,600,000"
146,27.11.2022,אשדוד,הדקל 9,שלוש עשרה,84,"2,220,000"
147,27.11.2022,אשדוד,יאיר 5,ראשונה,73,"1,660,000"
148,27.11.2022,אשדוד,הדקל 9,עשרים ושמונה,84,"2,450,000"
149,26.11.2022,אשדוד,הדקל 9,שלוש עשרה,84,"2,220,000"
150,24.11.2022,אשדוד,הר כנען 16,שלישית,66.24,"1,900,000"
151,24.11.2022,אשדוד,שפירא משה חיים 23,שמינית,70.85,"1,700,000"
152,24.11.2022,אשדוד,ביאליק 43,שלישית,59.8,"2,050,000"
153,23.11.2022,אשדוד, ,ראשונה,77,"2,099,000"
154,22.11.2022,אשדוד,"אדמו""ר מפיטסבורג 43",ראשונה,61,"2,015,000"
155,22.11.2022,אשדוד,שבזי 3,רביעית,64.24,"1,530,000"
156,22.11.2022,אשדוד,"הפלמ""ח 1",שישית,63,"700,000"
157,22.11.2022,אשדוד,שפירא אברהם 33,שלישית,58.5,"1,870,000"
158,22.11.2022,אשדוד,כפתור החולות 7,שניה,82.2,"1,560,000"
159,22.11.2022,אשדוד,מיכשוילי 30,שלישית,57.9,"1,765,000"
160,22.11.2022,אשדוד,הציונות 41,שלישית,86,"1,800,000"
161,22.11.2022,אשדוד,השרביטן 2,רביעית,61.1,"351,000"
162,22.11.2022,אשדוד, ,ראשונה,77,"2,100,000"
163,21.11.2022,אשדוד,אבות ישורון 7,שישית,68.43,"1,650,000"
164,17.11.2022,אשדוד,הבעל שם טוב 4,רביעית,60.2,"1,900,000"
165,17.11.2022,אשדוד,אחד העם 2,ראשונה,70.84,"1,570,000"
166,17.11.2022,אשדוד,ז'בוטינסקי 16,קומה 0,66,"1,430,000"
167,16.11.2022,אשדוד,רב ינאי 50,ראשונה,70,"1,815,000"
168,15.11.2022,אשדוד,הרב קוק 45,שניה,75,"428,000"
169,15.11.2022,אשדוד,הרב קוק 31,שלישית,61.1,"1,590,000"
170,15.11.2022,אשדוד,המעפילים 6,שלישית,63.43,"1,534,000"
171,15.11.2022,אשדוד,ז'בוטינסקי 22,רביעית,54.3,"621,000"
172,15.11.2022,אשדוד,שפירא משה חיים 6,רביעית,61,"1,800,000"
173,14.11.2022,אשדוד,הרב קוק 31, ,72,"1,590,000"
174,14.11.2022,אשדוד,רבא 13,שניה,78,"1,800,000"
175,14.11.2022,אשדוד,"הפלמ""ח 16",שניה,52.2,"1,400,000"
176,13.11.2022,אשדוד,חטיבת הנגב 33,שניה,69.5,"930,000"
177,13.11.2022,אשדוד,"אח""י אילת 5",שלישית,54.3,"1,300,000"
178,10.11.2022,אשדוד,מבצע חורב 2,ראשונה,60.2,"1,730,000"
179,10.11.2022,אשדוד,הרי גולן 15,שלישית,66.7,"1,760,000"
180,10.11.2022,אשדוד,מבצע חורב 2,שלישית,60.2,"1,700,000"
181,10.11.2022,אשדוד,פן אלכסנדר 3,חמש עשרה,75,"1,940,000"
182,09.11.2022,אשדוד,הרותם 17,שניה,60.8,"1,530,000"
183,09.11.2022,אשדוד,שבי ציון 23,ראשונה,74.6,"1,540,000"
184,08.11.2022,אשדוד,גור דב 47,שביעית,96,"2,050,000"
185,08.11.2022,אשדוד,ציזלינג 4,רביעית,49,"1,460,000"
186,08.11.2022,אשדוד,חרמון 10,שישית,74.88,"1,500,000"
187,08.11.2022,אשדוד, ,שלישית,75,"2,100,000"
188,07.11.2022,אשדוד,הכלנית 36,רביעית,62.8,"1,650,000"
189,07.11.2022,אשדוד,הכלנית 9,שביעית,86.5,"1,550,000"
190,06.11.2022,אשדוד,חטיבת כרמלי 4,שלישית,52,"1,370,000"
191,06.11.2022,אשדוד,ציזלינג 6,ראשונה,42.3,"1,530,000"
192,06.11.2022,אשדוד,הרב שאולי 35,ראשונה,60.5,"709,000"
193,06.11.2022,אשדוד,גור דב 28, ,50,"1,460,000"
194,06.11.2022,אשדוד,חטיבת גולני 4,שניה,52,"298,000"
195,03.11.2022,אשדוד,"אח""י אילת 19",שניה,54.3,"1,410,000"
196,03.11.2022,אשדוד,הגומא 8,ראשונה,61.1,"621,000"
197,02.11.2022,אשדוד,יהודה המכבי 4,שלישית,58.6,"1,580,000"
198,02.11.2022,אשדוד,בן יוסף שלמה 16,חמישית,64,"1,630,000"
199,02.11.2022,אשדוד,"רמב""ם 2",שניה,65,"1,550,000"
200,02.11.2022,אשדוד,המלך חזקיה 7,שניה,62,"1,500,000"
201,01.11.2022,אשדוד,"האצ""ל 1",ראשונה,73.8,"1,750,000"
202,01.11.2022,אשדוד,סיגל 3,ראשונה,61.5,"1,800,000"
203,31.10.2022,אשדוד,הרב קוק 39,רביעית,54.7,"1,850,000"
204,31.10.2022,אשדוד,אחד העם 20,רביעית,51.75,"1,320,000"
205,31.10.2022,אשדוד,ז'בוטינסקי 22,שניה,54.3,"700,000"
206,31.10.2022,אשדוד,שפירא אברהם 23,שלישית,58.5,"1,700,000"
207,31.10.2022,אשדוד,"הפלמ""ח 12",קרקע,52.2,"590,000"
208,31.10.2022,אשדוד,כוכב השחר 3,קומה 2,81.1,"1,800,000"
209,31.10.2022,אשדוד,גור דב 5,ראשונה,71,"1,520,000"
210,31.10.2022,אשדוד,"האצ""ל 1", ,76,"1,750,000"
211,30.10.2022,אשדוד,הדקל 5,שמינית,90,"2,395,000"
212,30.10.2022,אשדוד,גור דב 5, ,71,"1,520,000"
213,29.10.2022,אשדוד,הדקל 5,שמינית,90,"2,395,000"
214,28.10.2022,אשדוד,הכלנית 9,שלישית,86.5,"2,130,000"
215,27.10.2022,אשדוד,הרב שאולי 21,רביעית,60.4,"2,710,000"
216,27.10.2022,אשדוד,חטיבת גולני 3,שישית,56,"1,440,000"
