,sale_day,city,adress,floor,size,price
75,26.12.2022,ראשון לציון, ,שלישית,74,"2,630,000"
76,25.12.2022,ראשון לציון, ,רביעית,70,"2,750,000"
77,25.12.2022,ראשון לציון, ,שניה,82,"2,570,000"
78,25.12.2022,ראשון לציון,אנילביץ 45,שניה,56.50,"1,200,000"
79,23.12.2022,ראשון לציון,הדגן 17,שניה,79.90,"1,755,000"
80,22.12.2022,ראשון לציון,שדה נחום 9,שלישית,68,"2,320,000"
81,22.12.2022,ראשון לציון,יהודה הלוי 70,שלישית,61.36,"800,000"
82,20.12.2022,ראשון לציון,קרון אהרון 22,שלישית,66.70,"1,980,000"
83,18.12.2022,ראשון לציון,הירשפלד 5,ראשונה,60.38,"1,910,000"
84,15.12.2022,ראשון לציון,תל חי 21,ראשונה,60,"1,960,000"
85,15.12.2022,ראשון לציון,שרירא שמואל 34,רביעית,73.10,"2,050,000"
86,15.12.2022,ראשון לציון,הברון הירש 19,קרקע,59.75,"1,820,000"
87,15.12.2022,ראשון לציון,נעמן 1,שניה,62.46,"1,600,000"
88,14.12.2022,ראשון לציון,תורה ועבודה 26,שניה,47.70,"1,850,000"
89,14.12.2022,ראשון לציון,גולינקין 2,רביעית,47.10,"1,850,000"
90,13.12.2022,ראשון לציון,הזורעים 2,שלישית,65,"2,500,000"
91,12.12.2022,ראשון לציון,גולינקין 2,שלישית,47.10,"2,550,000"
92,11.12.2022,ראשון לציון,שוחט מניה 3,רביעית,78.48,"1,900,000"
93,08.12.2022,ראשון לציון,קאפח 3,שתים עשרה,65,"2,336,000"
94,08.12.2022,ראשון לציון,יהודה הלוי 10,רביעית,80,"2,410,000"
95,07.12.2022,ראשון לציון,לוין מיכאל וחנה 2,רביעית,70.68,"1,850,000"
96,05.12.2022,ראשון לציון,תנועות הנוער 3,שניה,69.36,"2,400,000"
97,05.12.2022,ראשון לציון,חלץ 3,חמישית,75,"1,955,000"
98,04.12.2022,ראשון לציון,בלקינד שמשון 3,שביעית,78.88,"1,500,000"
99,04.12.2022,ראשון לציון,"הרשב""א 17",שמינית,65.40,"2,000,000"
100,04.12.2022,ראשון לציון,חלץ 3, ,75,"1,950,000"
101,01.12.2022,ראשון לציון,נורדאו 36,ראשונה,76,"1,940,000"
102,01.12.2022,ראשון לציון,אימבר 6,קרקע,77,"1,990,000"
103,30.11.2022,ראשון לציון,הנופר 22,רביעית,64,"2,130,000"
104,30.11.2022,ראשון לציון,הרצל 44,ראשונה,62.64,"1,600,000"
105,28.11.2022,ראשון לציון,הרב גורן 7,ראשונה,67.33,"2,370,000"
106,28.11.2022,ראשון לציון,בוגלה יונה 13,שניה,63,"2,000,000"
107,27.11.2022,ראשון לציון,רוטשילד 73,שלישית,64,"1,780,000"
108,27.11.2022,ראשון לציון,החליל 30,קרקע,70.16,"2,825,000"
109,23.11.2022,ראשון לציון,פיין בנימין 1,חמישית,81,"2,180,000"
110,22.11.2022,ראשון לציון,אלקלעי 28,שלישית,73,"750,000"
111,20.11.2022,ראשון לציון,הלפרין 7,ראשונה,64.12,"1,840,000"
112,20.11.2022,ראשון לציון,"עגנון ש""י 11",שניה,42,"492,000"
113,18.11.2022,ראשון לציון,הגדוד העברי 7,ראשונה,61.54,"2,000,000"
114,18.11.2022,ראשון לציון,צייטלין 8,ראשונה,47.10,"1,800,000"
115,17.11.2022,ראשון לציון,דרור 13,ראשונה,74.59,"2,300,000"
116,17.11.2022,ראשון לציון,סנש חנה 8,ראשונה,56.50,"1,830,000"
117,17.11.2022,ראשון לציון,שרירא שמואל 34,שלישית,63.93,"2,220,000"
118,17.11.2022,ראשון לציון,חנקין 3,ראשונה,75,"2,445,000"
119,17.11.2022,ראשון לציון,בוגלה יונה 13,שניה,64,"2,150,000"
120,16.11.2022,ראשון לציון,העסיס 6,חמישית,79.60,"2,380,000"
121,16.11.2022,ראשון לציון,חנקין 3,ראשונה,75,"2,445,000"
122,14.11.2022,ראשון לציון,גשר 5,שישית,64.10,"2,070,000"
123,13.11.2022,ראשון לציון,ברניצקי נתן 17,רביעית,62.67,"900,000"
124,13.11.2022,ראשון לציון,דרור 15,שניה,63.86,"1,860,000"
125,13.11.2022,ראשון לציון,חיל הרגלים 2,שלישית,70,"2,350,000"
126,13.11.2022,ראשון לציון,בוגלה יונה 13,שניה,62,"2,130,000"
127,13.11.2022,ראשון לציון,שניאור זלמן 26,שניה,47.40,"1,089,000"
128,13.11.2022,ראשון לציון,"רמב""ם 21",ראשונה,80,"2,000,000"
129,13.11.2022,ראשון לציון,הקלרנית 1,שלישית,64.27,"2,275,000"
130,13.11.2022,ראשון לציון,שרירא שמואל 3,חמישית,78.32,"1,075,000"
131,11.11.2022,ראשון לציון,החלמונית 5,שניה,69,"900,000"
132,10.11.2022,ראשון לציון,החליל 12,ראשונה,65.81,"2,000,000"
133,09.11.2022,ראשון לציון,אנילביץ 18,שניה,64.60,"1,700,000"
134,08.11.2022,ראשון לציון,קפלנסקי 12,שניה,67.54,"1,610,000"
135,07.11.2022,ראשון לציון,תורה ועבודה 7,שניה,39.50,"1,710,000"
136,07.11.2022,ראשון לציון,מיכה יוסף 3,ראשונה,58.71,"1,900,000"
137,02.11.2022,ראשון לציון,אנילביץ 13,ראשונה,40.50,"1,440,000"
138,02.11.2022,ראשון לציון,אריאב חיים 6,רביעית,39.60,"424,000"
139,02.11.2022,ראשון לציון,בוגלה יונה 13,ראשונה,65,"2,160,000"
140,01.11.2022,ראשון לציון,שדה נחום 11,רביעית,64,"980,000"
141,30.10.2022,ראשון לציון,אריאב חיים 8,רביעית,39.60,"2,000,000"
142,30.10.2022,ראשון לציון, ,שמינית,79.18,"1,150,000"
143,27.10.2022,ראשון לציון,אבן גבירול 5,ראשונה,66.14,"1,585,000"
144,27.10.2022,ראשון לציון,טיומקין 17,שניה,55.20,"1,620,000"
145,27.10.2022,ראשון לציון,עין הקורא 30,ראשונה,56.94,"1,892,000"
146,27.10.2022,ראשון לציון,הנרקיס 6,רביעית,61.30,"2,540,000"
147,26.10.2022,ראשון לציון,הקלרנית 10,שניה,66.21,"2,390,000"
148,25.10.2022,ראשון לציון,ויצברד 17,ראשונה,54.88,"1,545,000"
149,25.10.2022,ראשון לציון,החלמונית 13,חמישית,95.30,"2,350,000"
150,24.10.2022,ראשון לציון,קידוש השם 15,ראשונה,63,"1,820,000"
151,24.10.2022,ראשון לציון,משמר הירדן 18,שניה,61.77,"1,890,000"
152,24.10.2022,ראשון לציון,"הרשב""א 2",שביעית,65.40,"2,300,000"
153,23.10.2022,ראשון לציון,הורוביץ 6,שניה,63.77,"1,550,000"
154,23.10.2022,ראשון לציון,תל חי 15,שלישית,61.50,"1,800,000"
155,23.10.2022,ראשון לציון,"צ""ג בנות 28",שניה,65.05,"1,066,000"
156,21.10.2022,ראשון לציון,"תרמ""ב 30",שניה,64.38,"885,000"
