,sale_day,city,adress,floor,size,price
81,06.02.2023,באר שבע,השלום 20,ראשונה,73.30,"830,000"
82,06.02.2023,באר שבע,מבצע יואב 84,רביעית,62.90,"655,000"
83,06.02.2023,באר שבע,דולצ'ין אריה 14,קרקע,66,"326,000"
84,05.02.2023,באר שבע,שאול המלך 131,רביעית,60.10,"610,000"
85,02.02.2023,באר שבע,אלפסי 9,שניה,59.60,"650,000"
86,02.02.2023,באר שבע,מרווה 1,שישית,80,"797,000"
87,02.02.2023,באר שבע,מינץ 22,שלישית,56.20,"670,000"
88,02.02.2023,באר שבע,מבצע נחשון 46,שניה,71,"737,000"
89,02.02.2023,באר שבע,האבות 62,ראשונה,100,"1,212,000"
90,01.02.2023,באר שבע,יוהנה ז'בוטינסקי 4,רביעית,87,"1,300,000"
91,01.02.2023,באר שבע,מבצע קילשון 4,רביעית,62.90,"692,000"
92,01.02.2023,באר שבע,אברהם אבינו 16,שלישית,65.50,"810,000"
93,31.01.2023,באר שבע,שריג נחום 13,שישית,86,"1,300,000"
94,31.01.2023,באר שבע,גלעד 42,קרקע,38.10,"506,000"
95,31.01.2023,באר שבע,יותם 8,רביעית,63.10,"700,000"
96,30.01.2023,באר שבע,טבנקין 38,ראשונה,67.50,"905,000"
97,30.01.2023,באר שבע,מצדה 38,ראשונה,56,"895,000"
98,30.01.2023,באר שבע,מגידו 22,שלישית,59.50,"765,000"
99,30.01.2023,באר שבע,"השל""ה 19",רביעית,63.40,"805,000"
100,30.01.2023,באר שבע,לוזון אפרים 55,ראשונה,60,"673,000"
101,29.01.2023,באר שבע,זיסו 2,שניה,51.50,"710,000"
102,29.01.2023,באר שבע,שרעבי 6,שניה,64,"790,000"
103,29.01.2023,באר שבע,טבריה 1,ראשונה,64.20,"940,000"
104,29.01.2023,באר שבע,ברוד מקס 20,ראשונה,60,"619,000"
105,27.01.2023,באר שבע,טשרניחובסקי 4,שניה,62.10,"1,090,000"
106,27.01.2023,באר שבע,יצחק אבינו 22,ראשונה,49.60,"910,000"
107,27.01.2023,באר שבע,האיילה 9,שניה,65.10,"536,666"
108,26.01.2023,באר שבע,מבצע קדם 15,שלישית,60,"730,000"
109,26.01.2023,באר שבע,מבצע ברוש 9,שלישית,64.40,"925,000"
110,26.01.2023,באר שבע,שרת משה 38,חמישית,65.90,"820,000"
111,26.01.2023,באר שבע,ירושלים 50,שלישית,83,"960,000"
112,26.01.2023,באר שבע,בני אור 50,שלישית,68.40,"840,000"
113,26.01.2023,באר שבע,הרב קוק 25,רביעית,59.90,"745,000"
114,26.01.2023,באר שבע,חזני מיכאל 36,שניה,64,"845,000"
115,26.01.2023,באר שבע,"החיד""א 91",שלישית,61.60,"665,000"
116,25.01.2023,באר שבע,שאול המלך 135,שלישית,65.70,"625,000"
117,25.01.2023,באר שבע,פרישמן דוד 4,רביעית,68.70,"970,000"
118,25.01.2023,באר שבע,אוסקר שינדלר 6,ראשונה,74.30,"1,180,000"
119,25.01.2023,באר שבע,מבצע קדם 3,ראשונה,60,"800,000"
120,25.01.2023,באר שבע,בני אור 62,חמישית,66,"850,000"
121,25.01.2023,באר שבע,שרת משה 42,שמינית,63,"815,000"
122,24.01.2023,באר שבע,אלפסי 11,שלישית,59.60,"630,000"
123,24.01.2023,באר שבע,זיסו 14,קרקע,51.50,"700,000"
124,24.01.2023,באר שבע,"החיד""א 45",שלישית,62,"150,000"
125,24.01.2023,באר שבע,ליבנה 7,שניה,82,"1,355,000"
126,24.01.2023,באר שבע,יצחק אבינו 20,שניה,49.10,"690,000"
127,24.01.2023,באר שבע,"החיד""א 59",ראשונה,61.20,"184,000"
128,23.01.2023,באר שבע,יוהנה ז'בוטינסקי 58,שביעית,69,"1,000,000"
129,23.01.2023,באר שבע,סנהדרין 99,שלישית,49.20,"620,000"
130,23.01.2023,באר שבע,הערים התאומות 23,שלישית,75.40,"1,235,000"
131,23.01.2023,באר שבע,רגר יצחק 123,שלישית,56.70,"1,100,000"
132,23.01.2023,באר שבע,מינץ 14,רביעית,64.30,"840,000"
133,23.01.2023,באר שבע,רגר יצחק 130,קרקע,66,"1,000,000"
134,23.01.2023,באר שבע,יהודי סוריה 12,ראשונה,63,"730,000"
135,23.01.2023,באר שבע,ליבנה 7,שלישית,82,"1,370,000"
136,22.01.2023,באר שבע,טבנקין 4,שלישית,65.90,"820,000"
137,22.01.2023,באר שבע,התלמוד 62,ראשונה,61.90,"650,000"
138,20.01.2023,באר שבע,הרב עוזיאל 1,רביעית,62.30,"640,000"
139,20.01.2023,באר שבע,מצדה 260,שניה,62.70,"755,000"
140,19.01.2023,באר שבע,"הרא""ש 1",שניה,60,"680,000"
141,19.01.2023,באר שבע,יפה לייב 13,קרקע,63.70,"720,000"
142,19.01.2023,באר שבע,הקנאים 19,שניה,49.70,"855,000"
143,19.01.2023,באר שבע,גוטמן נחום 1,ראשונה,67.70,"860,000"
144,19.01.2023,באר שבע,אברהם אבינו 49,שניה,40.40,"580,000"
145,19.01.2023,באר שבע,זיסו 14,שלישית,51.50,"700,000"
146,19.01.2023,באר שבע,צפת 6,שניה,65.50,"945,000"
147,19.01.2023,באר שבע,מרווה 1,שביעית,80,"797,000"
148,19.01.2023,באר שבע,לימונית 4,ראשונה,81,"1,345,000"
149,19.01.2023,באר שבע,בן חיים פאול 8,ראשונה,61,"447,000"
150,19.01.2023,באר שבע,שער הגיא 7,שניה,61.50,"805,000"
151,18.01.2023,באר שבע,יוהנה ז'בוטינסקי 60,חמישית,69,"970,000"
152,18.01.2023,באר שבע,האיילה 9,ראשונה,63.50,"835,000"
153,18.01.2023,באר שבע,ביאליק 4,ראשונה,48,"900,000"
154,18.01.2023,באר שבע,פרישמן דוד 11,שלישית,74,"1,100,000"
155,18.01.2023,באר שבע,סנהדרין 109,שלישית,51.90,"580,000"
156,18.01.2023,באר שבע,ירושלים 71,שניה,59.50,"750,000"
157,18.01.2023,באר שבע,מבצע עובדה 35,ראשונה,66.80,"845,000"
158,18.01.2023,באר שבע,צפת 14,שביעית,64.80,"880,000"
159,17.01.2023,באר שבע,סנהדרין 18,שלישית,61.50,"665,000"
160,17.01.2023,באר שבע,רבי טרפון 6,שניה,40.37,"606,000"
161,17.01.2023,באר שבע,מרווה 1,רביעית,80,"797,000"
162,16.01.2023,באר שבע,מבצע אסף 26,ראשונה,67.90,"900,000"
163,16.01.2023,באר שבע,"לח""י 52",שלישית,59,"780,000"
164,16.01.2023,באר שבע,הנגבי 1,רביעית,103.35,"1,306,000"
165,16.01.2023,באר שבע,התלמוד 83,קרקע,53.70,"610,000"
166,16.01.2023,באר שבע,מבצע נחשון 46,שלישית,67,"813,000"
167,15.01.2023,באר שבע,אברהם אבינו 40,ראשונה,44,"530,000"
168,15.01.2023,באר שבע,ירושלים 52,שניה,64.80,"757,000"
169,15.01.2023,באר שבע,העליה 75,שלישית,61.20,"700,000"
170,15.01.2023,באר שבע,יהודי סוריה 12,רביעית,62.40,"732,000"
171,15.01.2023,באר שבע,שרת משה 42,שישית,62,"860,000"
172,15.01.2023,באר שבע,מצדה 174,רביעית,68.70,"620,000"
173,15.01.2023,באר שבע,מינץ 36,ראשונה,56.95,"860,000"
174,15.01.2023,באר שבע,ציזלינג 5,ראשונה,62.80,"790,000"
175,15.01.2023,באר שבע,"רד""ק 23",שלישית,61.10,"760,000"
176,12.01.2023,באר שבע,רחל אמנו 6,שניה,62,"950,000"
177,12.01.2023,באר שבע, ,שישית,90,"1,140,000"
178,11.01.2023,באר שבע,גלעד 41,ראשונה,53.50,"710,000"
179,11.01.2023,באר שבע,יבנה 15,קרקע,53.90,"1,025,000"
180,11.01.2023,באר שבע,מצדה 71,שלישית,68.40,"770,000"
181,11.01.2023,באר שבע,האיסיים 7,ראשונה,40.40,"720,000"
182,11.01.2023,באר שבע,טבנקין 12,שניה,67.20,"730,000"
183,11.01.2023,באר שבע,הכנסת 25,ראשונה,40.50,"455,000"
184,10.01.2023,באר שבע,סנהדרין 62,שלישית,46,"580,000"
185,10.01.2023,באר שבע,שאול המלך 135,רביעית,61.20,"620,000"
186,10.01.2023,באר שבע,חומה ומגדל 3,קרקע,79.85,"965,000"
187,09.01.2023,באר שבע,ארליך שמחה 6,חמישית,65.90,"800,000"
188,09.01.2023,באר שבע,"הכ""ג 7",שלישית,61.40,"790,000"
189,09.01.2023,באר שבע,שאול המלך 141,שלישית,60.50,"740,000"
190,09.01.2023,באר שבע,הרב קוק 10,שלישית,59.20,"700,000"
191,08.01.2023,באר שבע,המשחררים 27,שלישית,57.50,"900,000"
192,08.01.2023,באר שבע,מצדה 230,רביעית,57.50,"705,000"
193,08.01.2023,באר שבע,"חת""ם סופר 2",שניה,63.40,"785,000"
194,08.01.2023,באר שבע,שרת משה 38,שלישית,65.90,"810,000"
195,08.01.2023,באר שבע,תדהר 1,שניה,82,"1,380,000"
196,06.01.2023,באר שבע,דב יוסף 19,שניה,63,"740,000"
197,05.01.2023,באר שבע,ירושלים 56,שביעית,63.80,"875,000"
198,05.01.2023,באר שבע,"חת""ם סופר 2",שישית,63.40,"730,000"
199,05.01.2023,באר שבע,יחיל חיים 24,שלישית,63.70,"800,000"
