,sale_day,city,adress,floor,size,price
87,08.12.2022,חולון,גוש עציון 7,ראשונה,75.11,"1,950,000"
88,08.12.2022,חולון, ,שמינית,76,"2,435,000"
89,08.12.2022,חולון,פרנק אנה 3,שביעית,87.02,"1,950,000"
90,08.12.2022,חולון,אפעל 2,חמישית,74,"1,738,000"
91,07.12.2022,חולון,קראוזה 52,שניה,74.75,"2,060,000"
92,07.12.2022,חולון, ,שבע עשרה,76,"2,355,000"
93,07.12.2022,חולון,ביאליק 91,שישית,75.02,"2,325,000"
94,07.12.2022,חולון, ,שמינית,76,"2,430,000"
95,06.12.2022,חולון,פייר קניג 5,ראשונה,63.08,"850,000"
96,06.12.2022,חולון, ,חמישית,76,"2,350,000"
97,06.12.2022,חולון,הוז דב 75,ראשונה,73.49,"1,880,000"
98,06.12.2022,חולון,בעל שם טוב 34,ראשונה,61.44,"1,510,000"
99,06.12.2022,חולון, ,שבע עשרה,76,"2,720,000"
100,05.12.2022,חולון, ,שתים עשרה,76,"2,555,000"
101,04.12.2022,חולון, ,עשרים וארבע,76,"2,550,000"
102,01.12.2022,חולון,בלום לאון 52,שלישית,48,"1,000,000"
103,01.12.2022,חולון,אהרונוביץ 43,שביעית,76,"1,700,000"
104,01.12.2022,חולון,שמורק 3,שניה,86.88,"2,000,000"
105,30.11.2022,חולון,אבן גבירול 2,ראשונה,67,"1,990,000"
106,29.11.2022,חולון,"אצ""ל 24",שניה,49.90,"2,170,000"
107,29.11.2022,חולון,אבן גבירול 2,קרקע,67,"1,990,000"
108,29.11.2022,חולון, ,שביעית,76,"2,400,000"
109,29.11.2022,חולון,"ביל""ו 29",ראשונה,64.67,"1,818,000"
110,28.11.2022,חולון,טשרניחובסקי 14,ראשונה,90,"2,272,000"
111,28.11.2022,חולון,פיכמן 7,שלישית,61,"3,274,000"
112,27.11.2022,חולון,אפעל 6,שניה,68,"2,118,000"
113,27.11.2022,חולון,ויצמן 19,ראשונה,79,"2,010,000"
114,25.11.2022,חולון,הוגו ארנסט 15,שניה,36,"2,000,000"
115,24.11.2022,חולון,אלי כהן 4,ראשונה,77,"2,150,000"
116,24.11.2022,חולון,בן יהודה 14,קומה 3,76,"2,239,000"
117,23.11.2022,חולון,אהרונוביץ 66,ראשונה,43,"1,600,000"
118,22.11.2022,חולון,הערבה 25,שלישית,48.30,"1,580,000"
119,22.11.2022,חולון,השופטים 27,ראשונה,59,"2,195,000"
120,21.11.2022,חולון,אנילביץ 29,ראשונה,58.20,"1,400,000"
121,21.11.2022,חולון,אבן גבירול 10,ראשונה,59.93,"1,838,000"
122,21.11.2022,חולון,חלץ 4,שמינית,67.30,"1,875,000"
123,20.11.2022,חולון,הוז דב 33,ראשונה,55,"1,200,000"
124,20.11.2022,חולון,ישראלי בן ציון 15,ראשונה,63.63,"1,700,000"
125,16.11.2022,חולון,התעלה 8,שלישית,62,"1,500,000"
126,16.11.2022,חולון,ההסתדרות 62,רביעית,54,"3,165,000"
127,16.11.2022,חולון,אגוז 7,רביעית,65.75,"2,000,000"
128,16.11.2022,חולון,הדר 26,ראשונה,57.57,"2,000,000"
129,15.11.2022,חולון, ,ראשונה,48.70,"1,800,000"
130,15.11.2022,חולון,פיכמן 7,שניה,61,"2,405,000"
131,15.11.2022,חולון,"הפלמ""ח 11",חמישית,65,"2,360,000"
132,13.11.2022,חולון,אוסישקין 3,קרקע,66,"1,000,000"
133,10.11.2022,חולון,אילת 56,חמישית,62.40,"1,500,000"
134,09.11.2022,חולון,דיין משה 14,חמישית,58.10,"1,870,000"
135,09.11.2022,חולון,ההסתדרות 22,ראשונה,48,"1,700,000"
136,09.11.2022,חולון,מפרץ שלמה 31,שמינית,58.80,"1,880,000"
137,09.11.2022,חולון,אבן גבירול 2,ראשונה,103,"2,899,000"
138,09.11.2022,חולון,בזל 8,שלישית,57.49,"1,820,000"
139,08.11.2022,חולון,אברבנאל 4,שלישית,66.52,"830,000"
140,08.11.2022,חולון,אבן גבירול 2, ,92,"2,900,000"
141,07.11.2022,חולון,חנקין 43,שלישית,83,"2,376,000"
142,06.11.2022,חולון,יצחק הלוי 27,שלישית,55.50,"1,166,000"
143,06.11.2022,חולון,בן יהודה 14,קומה 6,71,"2,050,000"
144,03.11.2022,חולון,ההסתדרות 122,ראשונה,73,"1,750,000"
145,03.11.2022,חולון,קראוזה 58,שניה,64.60,"1,800,000"
146,02.11.2022,חולון,בעל שם טוב 26,שלישית +רביעית,66.50,"1,740,000"
147,31.10.2022,חולון,ארבע ארצות 18,חמישית,49.50,"1,510,000"
148,31.10.2022,חולון,אפעל 2,שלישית,74,"1,528,000"
149,31.10.2022,חולון,אפעל 4,רביעית,75,"1,778,000"
150,31.10.2022,חולון,אפעל 6,חמישית,68,"1,752,000"
151,31.10.2022,חולון,טרומפלדור 6,ראשונה,63.43,"1,581,000"
152,31.10.2022,חולון,הבקעה 17,שלישית,61,"712,000"
153,27.10.2022,חולון,העבודה 11,ראשונה,48.30,"1,730,000"
