,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
18,18,28,28,28,28,28,28,1826764.0,הגרא,1,3,65,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2,1,0,0,0,850000.0,936666.0,793000.0,882562.0,1000000.0,1022000.0,1200000.0,1210807.0,1305833.0,1122462.0,1098192.0,1284454.0,1321250.0,1275584
19,19,29,29,29,29,29,29,1826764.0,הגרא,1,3,70,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,850000.0,936666.0,793000.0,882562.0,1000000.0,1022000.0,1200000.0,1210807.0,1305833.0,1122462.0,1098192.0,1284454.0,1321250.0,1275584
20,20,30,30,30,30,30,30,1795000.0,הגרא,1,4,67,0,4,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,850000.0,936666.0,793000.0,882562.0,1000000.0,1022000.0,1200000.0,1210807.0,1305833.0,1122462.0,1098192.0,1284454.0,1321250.0,1275584
21,21,31,31,31,31,31,31,1690000.0,הגרא,1,3,75,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0,0,850000.0,936666.0,793000.0,882562.0,1000000.0,1022000.0,1200000.0,1210807.0,1305833.0,1122462.0,1098192.0,1284454.0,1321250.0,1275584
22,22,32,32,32,32,32,32,1795000.0,הגרא,1,2,65,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,850000.0,936666.0,793000.0,882562.0,1000000.0,1022000.0,1200000.0,1210807.0,1305833.0,1122462.0,1098192.0,1284454.0,1321250.0,1275584
23,23,34,34,34,34,34,34,1820000.0,הגרא 25,1,2,75,0,4,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,850000.0,936666.0,793000.0,882562.0,1000000.0,1022000.0,1200000.0,1210807.0,1305833.0,1122462.0,1098192.0,1284454.0,1321250.0,1275584
24,24,35,35,35,35,35,35,1750000.0,הגרא 34,1,3,75,0,3,3,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,1,0,0,0,850000.0,936666.0,793000.0,882562.0,1000000.0,1022000.0,1200000.0,1210807.0,1305833.0,1122462.0,1098192.0,1284454.0,1321250.0,1275584
25,25,36,36,36,36,36,36,1720000.0,הגרא 8,1,3,66,0,3,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,683307.0,664135.0,739144.0,788022.0,861689.0,1017537.0,1026702.0,1069835.0,1101636.0,1101713.0,1211919.0,1320000.0,1437719.0,1388028
26,26,37,37,37,37,37,37,2177727.0,ההגנה,2,1,90,0,3,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,1,0,0,0,920000.0,1125000.0,945000.0,1051729.0,1122500.0,1200000.0,1417034.0,1325301.0,1380977.0,1361250.0,1445000.0,1570000.0,1742000.0,1681792
27,27,41,41,41,41,41,41,1750000.0,הוז דב,4,3,72,0,3,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0,0,0,0,845000.0,820000.0,796991.0,913439.0,973842.0,1040000.0,1228096.0,1100000.0,1280000.0,1303916.0,1126142.0,1220518.0,1419000.0,1369956
28,28,42,42,42,42,42,42,1790000.0,הוז דב,4,2,66,0,3,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,845000.0,820000.0,796991.0,913439.0,973842.0,1040000.0,1228096.0,1100000.0,1280000.0,1303916.0,1126142.0,1220518.0,1419000.0,1369956
29,29,43,43,43,43,43,43,2050000.0,הוז דב,6,3,70,1,5,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4,1,0,0,0,845000.0,820000.0,796991.0,913439.0,973842.0,1040000.0,1228096.0,1100000.0,1280000.0,1303916.0,1126142.0,1220518.0,1419000.0,1369956
30,30,44,44,44,44,44,44,1599000.0,הוז דב,11,3,70,1,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,845000.0,820000.0,796991.0,913439.0,973842.0,1040000.0,1228096.0,1100000.0,1280000.0,1303916.0,1126142.0,1220518.0,1419000.0,1369956
31,31,45,45,45,45,45,45,1950000.0,הוז דב 3,1,2,88,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,800000.0,837273.0,813780.0,905689.0,965579.0,1055843.0,1246805.0,1258034.0,1310884.0,1349849.0,1349942.0,1484978.0,1617410.0,1561508
32,32,46,46,46,46,46,46,1770000.0,הוז דב 56,4,2,70,1,3,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,1,0,0,0,738684.0,717958.0,799046.0,851885.0,931522.0,1100000.0,1298948.0,1310646.0,1365707.0,1406301.0,1406398.0,1547082.0,1685053.0,1626813
33,33,47,47,47,47,47,47,1950000.0,הוז דב 69,1,2,58,0,3,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3,1,0,0,0,893122.0,868063.0,966104.0,1029990.0,1126277.0,1329979.0,1341958.0,1398335.0,1439900.0,1440000.0,1440099.0,1400000.0,1524854.0,1472151
34,34,48,48,48,48,48,48,1680000.0,החים,4,2,55,0,3,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,719509.0,699321.0,778304.0,829772.0,907342.0,1071447.0,1081097.0,1126515.0,1160000.0,1500000.0,1190000.0,1166250.0,1480000.0,1428847
35,35,50,50,50,50,50,50,1908000.0,החרמון 8,8,4,68,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,2,0,0,0,765367.0,743892.0,827909.0,882657.0,965171.0,1139735.0,1150000.0,1160357.0,1209104.0,1245043.0,1245129.0,1369681.0,1491831.0,1440270
36,36,51,51,51,51,51,51,1750000.0,החשמונאים,6,4,60,0,4,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,804166.0,885000.0,860168.0,957316.0,1020620.0,1140000.0,1346182.0,1358306.0,1350000.0,1401250.0,1417500.0,1332200.0,1398750.0,1350406
37,37,52,52,52,52,52,52,2520000.0,המכבים 15,5,1,0,2,5,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3,2,0,0,0,924458.0,898520.0,1000000.0,1112941.0,1186536.0,1046250.0,1580000.0,1594229.0,1420000.0,1466666.0,1230000.0,1353038.0,1312500.0,1267137
38,38,53,53,53,53,53,53,1890000.0,המכבים 3,5,2,62,0,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,806292.0,783669.0,872178.0,929853.0,1016778.0,1200675.0,1211489.0,1262385.0,1299909.0,1300000.0,1150000.0,1265036.0,1377853.0,1330231
39,39,54,54,54,54,54,54,1800000.0,המעפילים,11,3,58,0,3,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,2,0,0,0,757500.0,707500.0,765000.0,851399.0,922500.0,1008737.0,1191179.0,1201907.0,1017200.0,1241750.0,1245000.0,1296474.0,1335000.0,1272000
40,40,55,55,55,55,55,55,2177727.0,הנוטרים,2,4,65,0,5,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,2,0,0,0,888795.0,863857.0,961423.0,1025000.0,1000000.0,1320000.0,1558738.0,1572776.0,1579100.0,1662500.0,1662615.0,1485000.0,1566666.0,1512518
41,41,56,56,56,56,56,56,1790000.0,הנוטרים,2,2,70,0,4,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3,1,0,0,0,888795.0,863857.0,961423.0,1025000.0,1000000.0,1320000.0,1558738.0,1572776.0,1579100.0,1662500.0,1662615.0,1485000.0,1566666.0,1512518
42,42,58,58,58,58,58,58,1690000.0,הסנהדרין,14,3,59,0,3,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3,2,0,0,0,720000.0,753546.0,732402.0,899473.0,958952.0,825000.0,974211.0,982985.0,1150000.0,1184182.0,1000000.0,1396712.0,1521273.0,1468694
43,43,59,59,59,59,59,59,1987857.0,הסנהדרין,6,3,65,0,3,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,1,0,0,0,720000.0,753546.0,732402.0,899473.0,958952.0,825000.0,974211.0,982985.0,1150000.0,1184182.0,1000000.0,1396712.0,1521273.0,1468694
44,44,60,60,60,60,60,60,1699999.0,הסנהדרין,14,1,60,0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,0,0,0,720000.0,753546.0,732402.0,899473.0,958952.0,825000.0,974211.0,982985.0,1150000.0,1184182.0,1000000.0,1396712.0,1521273.0,1468694
45,45,61,61,61,61,61,61,2050000.0,העם אחד,9,3,77,0,4,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,2,1,0,0,855124.0,831131.0,925000.0,1029470.0,870000.0,1180000.0,1393417.0,1405966.0,1465031.0,1470000.0,1466881.0,1500000.0,1790750.0,1728857
46,46,62,62,62,62,62,62,1720000.0,הערבה,14,4,68,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,725969.0,705600.0,676666.0,797500.0,805625.0,847187.0,1000000.0,1009006.0,1068809.0,1181333.0,994944.0,1263000.0,1305547.0,1700000
47,47,63,63,63,63,63,63,1600000.0,הערבה,14,2,62,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,0,0,0,0,725969.0,705600.0,676666.0,797500.0,805625.0,847187.0,1000000.0,1009006.0,1068809.0,1181333.0,994944.0,1263000.0,1305547.0,1700000
48,48,64,64,64,64,64,64,1677499.0,הערבה,14,4,60,0,4,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,1,0,0,0,725969.0,705600.0,676666.0,797500.0,805625.0,847187.0,1000000.0,1009006.0,1068809.0,1181333.0,994944.0,1263000.0,1305547.0,1700000
49,49,65,65,65,65,65,65,2250000.0,הצופית,15,1,75,1,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1080000.0,1130319.0,1098603.0,1040000.0,1108772.0,1212500.0,1431795.0,1444690.0,1100000.0,1380000.0,1250000.0,1390000.0,1513962.0,1461636
50,50,67,67,67,67,67,67,1895000.0,הר הצופים,8,1,70,0,4,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,820000.0,793421.0,753720.0,800000.0,972222.0,1002625.0,1422000.0,1310000.0,1086000.0,1172142.0,1140000.0,1347923.0,1315500.0,1270033
51,51,68,68,68,68,68,68,1690000.0,הר הצופים,8,3,70,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,820000.0,793421.0,753720.0,800000.0,972222.0,1002625.0,1422000.0,1310000.0,1086000.0,1172142.0,1140000.0,1347923.0,1315500.0,1270033
52,52,69,69,69,69,69,69,1908000.0,הר הצופים,8,1,65,1,3,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,1,0,0,0,820000.0,793421.0,753720.0,800000.0,972222.0,1002625.0,1422000.0,1310000.0,1086000.0,1172142.0,1140000.0,1347923.0,1315500.0,1270033
53,53,70,70,70,70,70,70,1840000.0,השומר 1,2,3,0,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,922247.0,896371.0,997609.0,1063579.0,1163005.0,1373349.0,1385718.0,1443933.0,1486853.0,1486957.0,1635700.0,1781575.0,1720000.0,1660553
54,54,71,71,71,71,71,71,2350000.0,השומרון 3,2,0,50,0,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,0,845367.0,821648.0,914446.0,974916.0,1066054.0,1258863.0,1270201.0,1323563.0,1362905.0,1363000.0,1363094.0,1499446.0,1577000.0,1522495
55,55,72,72,72,72,72,72,2000000.0,השילוח,8,2,78,0,6,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,0,0,0,685000.0,700000.0,800000.0,1050000.0,978333.0,1100000.0,1298948.0,1310646.0,1150000.0,1250000.0,1438000.0,1239000.0,1468250.0,1059250
56,56,73,73,73,73,73,73,1650000.0,התותחנים,4,2,60,0,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,0,0,0,0,585182.0,568763.0,633000.0,704491.0,751077.0,821289.0,969829.0,978563.0,1031166.0,998500.0,998569.0,1160000.0,1403000.0,1550000
57,57,74,74,74,74,74,74,1700000.0,התותחנים,4,3,60,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,585182.0,568763.0,633000.0,704491.0,751077.0,821289.0,969829.0,978563.0,1031166.0,998500.0,998569.0,1160000.0,1403000.0,1550000
58,58,75,75,75,75,75,75,1649000.0,התותחנים,4,3,60,1,3,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,2,0,0,0,585182.0,568763.0,633000.0,704491.0,751077.0,821289.0,969829.0,978563.0,1031166.0,998500.0,998569.0,1160000.0,1403000.0,1550000
59,59,76,76,76,76,76,76,1850000.0,התותחנים 11,4,2,54,0,3,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,553482.0,537953.0,598711.0,638303.0,697974.0,824212.0,831636.0,866574.0,892333.0,918856.0,918919.0,1010839.0,1410000.0,1361267
60,60,77,77,77,77,77,77,1985000.0,התותחנים 11,4,1,54,0,3,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,553482.0,537953.0,598711.0,638303.0,697974.0,824212.0,831636.0,866574.0,892333.0,918856.0,918919.0,1010839.0,1410000.0,1361267
61,61,78,78,78,78,78,78,1720000.0,התותחנים 15,4,3,51,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,533186.0,518226.0,576756.0,614896.0,672379.0,793987.0,801138.0,834795.0,859609.0,859669.0,945664.0,1030000.0,1121857.0,1083083
62,62,79,79,79,79,79,79,1972500.0,התחמושת גבעת,16,5,70,1,9,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,990800.0,963000.0,910000.0,900000.0,1070000.0,1283333.0,1590000.0,1385000.0,1423750.0,1220416.0,1630000.0,1246666.0,1025000.0,989573
63,63,81,81,81,81,81,81,2100000.0,ולפסון,9,3,75,0,4,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1020637.0,992000.0,943750.0,1077500.0,1125000.0,1190000.0,1480000.0,1493329.0,1400000.0,1377500.0,1220000.0,1427500.0,1390416.0,1342360
64,64,85,85,85,85,85,85,1990000.0,זלמן ארן,1,1,70,0,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,0,0,0,928125.0,860000.0,974250.0,1076666.0,1104229.0,1365000.0,1390000.0,1320000.0,1470000.0,1420000.0,1410321.0,1486666.0,1619250.0,1840000
65,65,86,86,86,86,86,86,1850000.0,חולון,6,2,85,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,850000.0,889603.0,930000.0,1105000.0,1178070.0,1258500.0,1500000.0,1750000.0,1823518.0,1877720.0,1247500.0,1372289.0,1494671.0,1443011
66,66,87,87,87,87,87,87,1720000.0,חולון,6,1,60,0,4,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,1,0,0,0,850000.0,889603.0,930000.0,1105000.0,1178070.0,1258500.0,1500000.0,1750000.0,1823518.0,1877720.0,1247500.0,1372289.0,1494671.0,1443011
67,67,88,88,88,88,88,88,1960000.0,חולון,6,2,78,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3,2,0,0,0,850000.0,889603.0,930000.0,1105000.0,1178070.0,1258500.0,1500000.0,1750000.0,1823518.0,1877720.0,1247500.0,1372289.0,1494671.0,1443011
68,68,89,89,89,89,89,89,1987857.0,חולון,6,4,60,0,4,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,2,0,0,0,850000.0,889603.0,930000.0,1105000.0,1178070.0,1258500.0,1500000.0,1750000.0,1823518.0,1877720.0,1247500.0,1372289.0,1494671.0,1443011
69,69,90,90,90,90,90,90,2290000.0,חולון,6,2,56,1,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2,2,0,0,0,850000.0,889603.0,930000.0,1105000.0,1178070.0,1258500.0,1500000.0,1750000.0,1823518.0,1877720.0,1247500.0,1372289.0,1494671.0,1443011
70,70,91,91,91,91,91,91,2270000.0,חולון,6,6,90,0,8,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3,0,0,0,0,850000.0,889603.0,930000.0,1105000.0,1178070.0,1258500.0,1500000.0,1750000.0,1823518.0,1877720.0,1247500.0,1372289.0,1494671.0,1443011
71,71,92,92,92,92,92,92,2177727.0,טרומפלדור,2,3,90,0,4,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3,0,0,0,0,872286.0,847811.0,943564.0,1005960.0,1100000.0,1327750.0,1567889.0,1582009.0,1630000.0,1525000.0,1451000.0,1653000.0,1655500.0,1598282
72,72,93,93,93,93,93,93,2100000.0,יבנה,5,1,70,0,4,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3,1,0,0,0,805000.0,842506.0,818866.0,911349.0,1260000.0,1280000.0,1450000.0,1463059.0,1524522.0,1490000.0,1300000.0,1550000.0,1695000.0,1636417
73,73,94,94,94,94,94,94,2390000.0,יבנה 13,5,1,90,0,4,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,965029.0,937952.0,1043886.0,1112916.0,1216955.0,1437057.0,1450000.0,1463059.0,1524522.0,1569837.0,1569945.0,1726988.0,1881003.0,1815991
