,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
15,15,"1,750,000 ₪",אלמוג,"דירה, גילה, ירושלים", '3', '70', 'מרפסות\n1', 'קומות בבנין\n3', 'חניות\nללא',0,0,0,1,0,0,0,0,0,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nכניסה גמישה',0,1,0,"438,260",none,none,955000,1042500,none,"1,535,000",1160000,none,none,none,none,none,none
16,16,"3,490,000 ₪",אנטיגונוס,"דירה, קטמונים, ירושלים", '2', '70', 'מרפסות\n1', 'קומות בבנין\n2', 'חניות\n1',0,0,0,0,0,0,0,1,0,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nלא צוין תאריך כניסה',0,0,4,none,none,none,none,none,none,none,none,none,"1,800,000",none,none,none,none
17,17,"3,490,000 ₪",אנטיגונוס,"דירה, קטמונים, ירושלים",'2','70','מרפסות\n1','קומות בבנין\n2','חניות\n1',0,0,0,0,0,0,0,1,0,0,'מצב הנכס\nבמצב שמור','תאריך כניסה\nלא צוין תאריך כניסה',0,0,4,none,none,none,none,none,none,none,none,none,"1,800,000",none,none,none,none
18,18,"1,800,000 ₪",אפרסמון,"דירה, גילה, ירושלים", '4', '65', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan',0,0,0,860600,939701,860944,913571,992500,1104875,1200000,"1,220,000",1255833,"1,315,000",1320225,1377500,1338500,none
19,19,"1,950,000 ₪",אפרסמון 14,"דירה, גילה, ירושלים", '3', '60', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan',0,0,0,none,none,none,none,none,"1,060,000",none,none,none,none,none,none,none,none
20,20,"3,280,000 ₪",ארנונה,"דירה, ארנונה, ירושלים", '4', '90', 'מרפסות\n1', 'קומות בבנין\n13', 'חניות\n1',1,0,1,0,1,1,0,0,0,0, 'מצב הנכס\nמשופץ', 'תאריך כניסה\nכניסה גמישה',0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
21,21,"3,126,500 ₪",ארנונה,"דירה, ארנונה, ירושלים", '3', '80', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan',0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
22,22,לא צוין מחיר,בוליביה,"דירה, קרית היובל, ירושלים", 'קרקע', '90', 'מרפסות\n1', 'קומות בבנין\n1', 'חניות\n1',1,1,1,1,1,1,1,1,0,0, 'מצב הנכס\nחדש מקבלן', 'תאריך כניסה\n01/01/2027',0,0,0,873750,978937,1037142,975000,992717,1288333,none,"1,480,000","1,950,000","1,570,000",1805000,1724750,1993023,2143000
23,23,"200,000 ₪",בוליביה 1,"דירה, קרית היובל, ירושלים", 'קרקע',40.0, 'מרפסות\n1', 'none', 'חניות\n1',1,1,1,1,1,0,1,1,0,0, 'none', 'תאריך כניסה\nכניסה גמישה',0,0,4,none,"1,117,000","1,170,000",none,none,none,none,none,"1,950,000",none,none,1985000,none,none
24,24,לא צוין מחיר,בוליביה 4,"דירה, קרית היובל, ירושלים", '5',45.0, 'מרפסות\n1', 'קומות בבנין\n7', 'חניות\n1',0,0,1,1,1,1,1,0,0,0, 'מצב הנכס\nחדש', 'תאריך כניסה\nכניסה גמישה',0,0,1,755000,853750,"880,000",732500,"900,000",none,none,none,none,none,1805000,1910000,1735000,none
