,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
16,ירושלים,אביגור 20,3,78.0,,1999,none,none,none,none,none,none,none,none,none,none,none,none,none,none
17,ירושלים,אביגור 22,3,80.0,,2009,none,none,1142500,1185000,1305000,none,none,none,none,none,none,none,none,none
18,ירושלים,אביגור 24,3,72.0,,2003,1050000,none,none,none,"1,286,285",none,none,none,none,none,none,none,none,none
19,ירושלים,אביגור 26,3,82.0,2.0,2005,none,none,none,none,none,none,none,none,none,none,none,none,none,none
20,ירושלים,אביגור 30,3,75.0,9.0,2006,none,none,"1,170,000","1,260,000",none,none,none,none,none,none,none,none,none,none
21,ירושלים,אביגור 32,3,75.0,3.0,2006,none,none,none,none,none,none,none,none,none,none,none,none,none,none
22,ירושלים,אבידע 5,3,65.0,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
23,ירושלים,אביזוהר 4,3,66.0,1.0,1969,none,none,none,none,none,none,none,none,none,none,none,none,none,none
24,ירושלים,אביזוהר 7,3,75.0,3.0,2003,none,none,none,none,none,none,none,none,none,none,none,none,none,none
25,ירושלים,אביטל 10,3,82.0,1.0,2000,none,none,none,none,none,none,none,none,"1,715,000",none,"1,900,000",none,none,none
26,ירושלים,אביטל 11,3,71.0,1.0,2001,none,none,none,none,none,none,none,none,none,none,none,none,none,none
27,ירושלים,אביטל 13,3,76.0,2.0,2012,none,none,none,1765000,none,none,none,none,none,none,none,none,none,none
28,ירושלים,אביטל 2,3,64.0,,2013,none,none,none,none,none,none,none,none,none,none,"1,504,273",none,none,none
29,ירושלים,אבינדב 1,3,43.0,1.0,1950,none,none,none,none,none,none,none,none,none,none,none,none,none,none
30,ירושלים,אבינדב 18,3,65.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
31,ירושלים,אבינדב 21,3,78.0,2.0,1978,none,none,none,none,none,none,none,none,none,none,none,none,none,none
32,ירושלים,אבינדב 24,3,61.0,3.0,1967,none,none,"1,405,000",none,none,none,none,none,none,none,none,none,none,none
33,ירושלים,אבינדב 9,3,59.0,2.0,1960,955035,none,none,none,none,none,none,none,none,none,none,none,none,none
34,ירושלים,אביעד 10,3,61.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
35,ירושלים,אביעד 18,3,64.0,1.0,1959,none,none,none,none,none,none,none,none,none,none,none,none,none,none
36,ירושלים,אביעד 3,3,66.0,,1940,none,none,none,none,none,none,none,none,none,none,none,none,none,none
37,ירושלים,אבן אבא 1,3,112.0,,2009,none,none,none,none,none,none,none,none,none,1910000,none,none,none,none
38,ירושלים,אבן אבא 12,3,89.0,4.0,2012,none,none,none,none,"2,920,000",none,none,none,none,none,none,none,none,none
39,ירושלים,אבן אבא 14,3,94.0,5.0,2013,none,none,none,none,none,none,none,none,none,none,none,none,none,none
40,ירושלים,אבן אבא 4,3,77.0,3.0,2016,none,none,none,none,none,none,none,none,none,none,none,none,none,none
41,ירושלים,אברבנאל 17,3,72.0,,1950,none,"1,640,000",none,"2,150,000",2470000,"2,900,000",none,none,none,"500,000","3,450,000",none,none,none
42,ירושלים,אברבנאל 25,3,75.0,3.0,1970,none,"2,550,000",none,"2,450,000",none,none,none,none,none,none,none,none,none,none
43,ירושלים,אברבנאל 31,3,63.0,3.0,1970,none,none,none,"2,500,000",none,none,none,none,none,none,"2,700,000",none,none,none
44,ירושלים,אברבנאל 4,3,75.0,1.0,1980,1757288,none,none,none,none,none,none,none,none,none,none,none,none,none
45,ירושלים,אברבנאל 6,3,64.0,3.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
46,ירושלים,אברמסקי 18,3,69.0,,2002,none,none,none,none,none,none,none,none,none,none,none,none,none,none
47,ירושלים,אגמון 1,3,60.0,1.0,1990,"850,000",none,"850,000",none,"1,110,000",none,none,none,none,none,none,none,none,none
48,ירושלים,אגן 12,3,90.0,4.0,2013,none,none,none,none,none,2645340,"3,125,000",none,none,none,none,none,none,none
49,ירושלים,אגן 21,3,88.0,5.0,2013,none,none,none,none,none,none,none,none,none,none,none,none,none,none
50,ירושלים,אגן 30,3,87.0,8.0,2013,none,none,none,none,none,none,none,none,none,none,none,none,none,none
51,ירושלים,אגן 63,3,93.0,7.0,2013,none,none,none,none,none,none,none,none,none,none,none,none,none,none
52,ירושלים,אגסי 14,3,62.0,,1986,none,none,none,none,none,none,none,none,none,none,none,none,none,none
53,ירושלים,אגסי 26,3,74.0,7.0,1996,none,none,none,none,none,none,none,none,none,none,none,none,none,none
54,ירושלים,אגסי 32,3,112.0,6.0,1985,none,none,none,none,none,none,none,none,none,none,none,none,none,none
55,ירושלים,אגרון 1,3,113.0,,2012,none,none,none,none,none,none,none,none,none,none,none,none,none,none
56,ירושלים,אגרון 22,3,80.0,,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
57,ירושלים,אגרון 24,3,104.0,1.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
58,ירושלים,אגרון 26,3,75.0,,1926,none,none,none,none,none,none,none,none,none,none,none,none,none,none
59,ירושלים,אגרון 3,3,157.0,,2012,none,none,none,none,none,none,none,none,none,none,none,none,none,none
