,city,street,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
52,באר שבע,אבן גבירול 6,3,48.0,1.0,1900,none,"555,000",585666,none,none,none,"700,000",none,none,none,none,none,none,none
53,באר שבע,אבן גבירול 7,3,72.0,1.0,1960,"540,000",none,none,674166,none,none,none,"850,000",none,none,897500,none,none,none
54,באר שבע,אבן גבירול 8,3,72.0,2.0,1970,450000,"508,000",555000,none,"765,000",none,none,"825,000","800,000",none,none,none,none,none
55,באר שבע,אבן עזרא 10,3,69.0,1.0,1973,none,none,none,none,none,none,none,none,none,none,none,none,none,none
56,באר שבע,אבן עזרא 41,3,92.0,1.0,1962,none,none,none,none,none,none,none,none,none,none,none,none,none,none
57,באר שבע,אבן עזרא 59,3,87.0,,1983,none,none,none,none,none,none,none,none,none,none,none,none,none,none
58,באר שבע,אבן עזרא 6,3,69.0,1.0,1973,none,none,100000,"515,000",none,none,none,none,none,none,none,none,none,none
59,באר שבע,אבן עזרא 87,3,80.0,2.0,1980,235000,"313,000",none,none,none,none,none,none,none,none,none,none,none,none
60,באר שבע,אבן עזרא 89,3,70.0,4.0,1900,"250,000","290,000",none,347000,409000,"475,000","520,000",none,"500,000",none,none,none,none,none
61,באר שבע,אבן עזרא 9,3,70.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
62,באר שבע,אבן עזרא 91,3,61.0,,1900,"270,000",none,none,"430,000",none,"460,000","600,000",none,none,none,none,none,none,none
63,באר שבע,אבנר 1,3,59.0,3.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
64,באר שבע,אבנר 2,3,75.0,,1970,none,none,none,none,none,none,none,none,none,"540,000",none,none,none,none
65,באר שבע,אבנר 20,3,61.0,3.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
66,באר שבע,אבנר 44,3,59.0,3.0,1982,none,none,none,none,none,none,none,none,none,none,none,none,none,none
67,באר שבע,אבנר 89,3,60.0,,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
68,באר שבע,אברבנאל,3,10.0,3.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
69,באר שבע,אברבנאל 1,3,76.0,4.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
70,באר שבע,אברבנאל 10,3,73.0,4.0,1980,none,"370,000",388500,none,"500,000",none,none,none,none,none,none,none,none,none
71,באר שבע,אברבנאל 12,3,61.0,,1980,none,none,"380,000",none,none,none,none,none,"670,000",none,none,none,none,none
72,באר שבע,אברבנאל 14,3,81.0,4.0,1995,none,none,none,none,none,none,none,none,none,none,none,none,none,none
73,באר שבע,אברבנאל 16,3,46.0,2.0,1976,none,none,none,none,none,none,none,none,none,none,none,none,none,none
74,באר שבע,אברבנאל 18,3,70.0,,1970,332500,none,none,none,none,none,none,none,none,"550,000",none,none,none,none
75,באר שבע,אברבנאל 22,3,75.0,5.0,1985,none,"400,000","430,000","510,510",none,none,none,none,none,none,none,none,none,none
76,באר שבע,אברבנאל 3,3,62.0,,1900,none,none,none,"447,000","500,000",none,none,none,none,none,none,none,none,none
77,באר שבע,אברבנאל 5,3,76.0,,1970,none,"390,000",none,none,none,none,none,none,none,none,none,none,none,none
78,באר שבע,אברבנאל 6,3,61.0,,1980,235000,"383,000",none,406500,none,none,none,none,none,none,none,none,none,none
79,באר שבע,אברבנאל 7,3,62.0,3.0,1976,none,none,none,none,none,none,none,none,none,none,none,none,none,none
80,באר שבע,אברבנאל 8,3,61.0,3.0,1900,none,"380,000",377500,"410,000",none,none,none,none,none,none,none,none,none,none
81,באר שבע,אברבנאל 9,3,66.0,3.0,1980,322500,"375,000",none,none,none,none,none,none,none,none,none,none,none,none
82,באר שבע,אברבנאל יא 12,3,73.0,4.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
83,באר שבע,אברבנאל יא 14,3,61.0,,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
84,באר שבע,אברבנאל יא 16,3,60.0,2.0,1979,none,none,none,none,none,none,none,none,none,none,none,"590,000",none,none
85,באר שבע,אברבנאל יא 18,3,72.0,3.0,1977,none,none,none,none,none,none,none,none,none,none,none,none,none,none
86,באר שבע,אברבנאל יא 22,3,73.0,8.0,1990,367500,"400,000",none,none,none,none,none,none,none,none,none,none,none,none
87,באר שבע,אברבנאל יא 8,3,73.0,3.0,1980,none,none,none,none,none,none,none,"620,000",none,none,none,none,none,none
88,באר שבע,אברבנל 10,3,70.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
89,באר שבע,אברהם אבינו,3,65.0,1.0,1900,none,none,none,none,none,"453,000",none,none,none,none,none,none,none,none
90,באר שבע,אברהם אבינו 1,3,57.0,2.0,1980,"300,000",380000,477500,483125,545000,none,none,none,none,none,none,none,none,none
91,באר שבע,אברהם אבינו 10,3,54.0,2.0,1900,365000,520000,420000,566666,"520,000",none,none,none,"765,000",none,"810,000",none,none,none
92,באר שבע,אברהם אבינו 11,3,55.0,,1980,none,none,500000,533250,none,none,none,none,none,none,none,none,none,none
93,באר שבע,אברהם אבינו 12,3,77.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,"770,000",none,none
94,באר שבע,אברהם אבינו 13,3,55.0,1.0,1900,none,none,none,none,"530,000",none,"830,000","765,000",none,none,"820,000",none,none,none
95,באר שבע,אברהם אבינו 14,3,65.0,4.0,1960,none,none,none,none,none,none,none,"710,000",none,none,none,none,none,none
96,באר שבע,אברהם אבינו 15,3,47.0,,1960,354972,"435,000",none,none,none,none,none,755000,none,none,none,none,none,none
97,באר שבע,אברהם אבינו 16,3,65.0,2.0,1950,"285,000",none,none,505000,556250,none,none,none,"760,000",none,none,none,none,none
98,באר שבע,אברהם אבינו 17,3,66.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
99,באר שבע,אברהם אבינו 18,3,65.0,,1969,392500,"450,000",461000,none,none,none,none,none,none,"770,000",none,none,none,none
100,באר שבע,אברהם אבינו 19,3,56.0,,1960,"325,000",432500,none,none,"620,000","665,000",none,"775,000",none,none,none,none,none,none
101,באר שבע,אברהם אבינו 2,3,40.0,3.0,1900,none,406250,402500,592500,377500,"727,000",none,none,none,none,none,none,none,none
102,באר שבע,אברהם אבינו 20,3,65.0,3.0,1960,none,515000,none,"480,000",none,"620,000",none,"780,000","760,000",none,783500,"770,000",none,none
103,באר שבע,אברהם אבינו 21,3,64.0,1.0,1950,none,441666,none,"540,000","550,000","600,000",none,none,none,none,none,none,none,none
104,באר שבע,אברהם אבינו 22,3,65.0,2.0,1900,"370,000",425000,none,none,none,none,none,none,"775,000",none,none,none,none,none
105,באר שבע,אברהם אבינו 23,3,58.0,3.0,1965,none,none,none,none,none,none,none,none,"795,000",none,none,none,none,none
106,באר שבע,אברהם אבינו 24,3,74.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
107,באר שבע,אברהם אבינו 25,3,57.0,,1900,none,415000,"460,000",none,none,none,none,none,none,none,none,none,none,none
108,באר שבע,אברהם אבינו 26,3,65.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
109,באר שבע,אברהם אבינו 27,3,55.0,,1950,none,none,466000,none,none,"567,000",none,none,none,none,none,none,none,none
110,באר שבע,אברהם אבינו 29,3,52.0,5.0,1900,"320,000",none,none,none,none,none,none,none,none,none,none,none,none,none
111,באר שבע,אברהם אבינו 3,3,55.0,,1900,"380,000",367416,464070,517500,"570,000",none,"665,000",none,none,none,none,none,none,none
112,באר שבע,אברהם אבינו 31,3,68.0,2.0,1962,383000,"505,000",477720,496666,"565,000",none,567500,"630,000",none,none,none,none,none,none
113,באר שבע,אברהם אבינו 33,3,60.0,3.0,1970,"360,000",408333,493365,493087,"650,000","710,000",none,"688,000",none,none,790000,none,none,none
114,באר שבע,אברהם אבינו 34,3,60.0,,1900,"450,000",425000,none,none,none,none,none,none,none,none,none,none,none,none
115,באר שבע,אברהם אבינו 35,3,42.0,,1900,none,none,none,"390,000","530,000",492500,none,none,none,none,none,none,none,none
116,באר שבע,אברהם אבינו 38,3,64.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
117,באר שבע,אברהם אבינו 39,3,42.0,3.0,1900,none,none,"387,500",none,none,none,none,none,none,none,none,none,none,none
118,באר שבע,אברהם אבינו 40,3,44.0,1.0,1970,"260,000",358500,415000,457500,425000,none,none,none,563493,none,"650,000",none,none,none
119,באר שבע,אברהם אבינו 41,3,42.0,,1970,364000,none,none,none,none,none,none,none,none,none,none,none,none,none
120,באר שבע,אברהם אבינו 43,3,40.0,2.0,1900,none,none,"350,000",none,none,none,none,none,none,none,none,none,none,none
121,באר שבע,אברהם אבינו 44,3,64.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
122,באר שבע,אברהם אבינו 45,3,40.0,1.0,1960,none,"350,000",none,none,"380,000",none,"550,000",none,none,"545,000","660,000",none,none,none
123,באר שבע,אברהם אבינו 49,3,44.0,3.0,1900,none,none,302500,none,526250,none,"570,000","637,000",none,"665,000",none,none,none,none
124,באר שבע,אברהם אבינו 5,3,66.0,2.0,1970,"390,000","460,000","360,000",none,none,none,none,"735,000",none,none,none,none,none,none
125,באר שבע,אברהם אבינו 50,3,54.0,1.0,1900,"440,000",none,none,none,none,none,none,none,none,none,none,none,none,none
126,באר שבע,אברהם אבינו 51,3,40.0,3.0,1900,267500,none,none,none,none,none,none,"735,000",none,none,none,none,none,none
127,באר שבע,אברהם אבינו 53,3,40.0,,1900,none,402500,none,none,none,none,none,"502,000",none,none,none,none,none,none
128,באר שבע,אברהם אבינו 54,3,53.0,1.0,1960,"310,000",none,none,none,none,"420,000",none,none,none,none,none,none,none,none
129,באר שבע,אברהם אבינו 55,3,40.0,,1900,none,337500,none,none,none,none,565000,none,none,none,none,none,none,none
130,באר שבע,אברהם אבינו 57,3,42.0,3.0,1970,none,443750,none,none,none,none,none,408500,"630,000",none,none,none,none,none
131,באר שבע,אברהם אבינו 6,3,48.0,2.0,1960,"340,000",none,none,none,"717,873",none,none,none,none,none,none,none,none,none
132,באר שבע,אברהם אבינו 60,3,65.0,2.0,1970,"345,000","320,000",none,368000,480000,none,none,none,none,"475,000",none,none,none,none
133,באר שבע,אברהם אבינו 61,3,42.0,,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
134,באר שבע,אברהם אבינו 62,3,44.0,1.0,1980,none,"295,000",none,none,none,none,none,542500,none,none,none,none,none,none
135,באר שבע,אברהם אבינו 63,3,38.0,2.0,1960,"315,000",344500,none,"400,000",none,none,none,none,none,none,none,none,none,none
136,באר שבע,אברהם אבינו 65,3,38.0,3.0,1960,none,"340,000",none,none,none,none,none,none,none,none,none,none,none,none
137,באר שבע,אברהם אבינו 67,3,47.0,2.0,1960,none,265000,437500,"325,000",467500,none,none,none,none,none,"548,000",none,none,none
138,באר שבע,אברהם אבינו 69,3,38.0,3.0,1969,none,none,none,none,none,"450,000",none,none,"440,000",none,none,none,none,none
139,באר שבע,אברהם אבינו 7,3,55.0,1.0,1900,none,none,403333,none,"700,000",none,none,none,none,none,none,none,none,none
140,באר שבע,אברהם אבינו 71,3,38.0,3.0,1900,none,none,none,none,none,none,none,"450,450","440,000",642500,none,none,none,none
141,באר שבע,אברהם אבינו 75,3,61.0,1.0,1980,none,none,none,"390,000",none,none,none,none,none,none,none,none,none,none
142,באר שבע,אברהם אבינו 79,3,71.0,2.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
143,באר שבע,אברהם אבינו 8,3,43.0,1.0,1970,none,none,453125,none,"550,000",none,none,none,none,none,none,none,none,none
144,באר שבע,אברהם אבינו 85,3,32.0,1.0,1970,none,none,"310,000",none,none,none,none,none,none,none,none,none,none,none
145,באר שבע,אברהם אבינו 9,3,55.0,3.0,1970,none,none,465000,none,none,none,none,"825,000","817,500",none,none,none,none,none
146,באר שבע,אברהם אבינו שכ ד',3,65.0,1.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
147,באר שבע,אברהם אבינו שכ ד' 1,3,57.0,2.0,1980,"300,000",380000,"460,000",none,"578,000",none,none,none,none,none,"720,000",none,none,none
148,באר שבע,אברהם אבינו שכ ד' 10,3,74.0,3.0,1900,none,"430,000",420000,none,none,none,none,none,none,none,"810,000",none,none,none
149,באר שבע,אברהם אבינו שכ ד' 11,3,65.0,3.0,1975,none,none,none,none,none,none,none,none,none,none,none,none,none,none
150,באר שבע,אברהם אבינו שכ ד' 12,3,74.0,2.0,1982,none,"470,000",none,none,none,none,none,none,none,none,none,none,none,none
151,באר שבע,אברהם אבינו שכ ד' 13,3,55.0,1.0,1990,none,none,none,none,"530,000",655000,"680,000",none,none,none,none,none,none,none
152,באר שבע,אברהם אבינו שכ ד' 15,3,65.0,2.0,1961,315958,none,none,none,none,576749,none,none,none,none,none,none,none,none
153,באר שבע,אברהם אבינו שכ ד' 17,3,55.0,2.0,1900,none,411250,none,none,none,none,none,none,none,none,none,none,none,none
154,באר שבע,אברהם אבינו שכ ד' 18,3,75.0,4.0,1970,377500,none,476500,none,none,none,none,none,none,none,none,none,none,none
155,באר שבע,אברהם אבינו שכ ד' 19,3,1.0,4.0,1976,none,none,none,none,none,none,none,none,none,none,none,none,none,none
156,באר שבע,אברהם אבינו שכ ד' 2,3,47.0,3.0,1960,none,465000,none,"570,000",none,none,none,none,none,none,none,none,none,none
157,באר שבע,אברהם אבינו שכ ד' 20,3,75.0,2.0,1950,none,none,none,none,580000,none,none,none,none,none,none,none,none,none
158,באר שבע,אברהם אבינו שכ ד' 21,3,67.0,2.0,1967,none,none,none,none,none,none,none,none,none,none,none,none,none,none
159,באר שבע,אברהם אבינו שכ ד' 22,3,65.0,2.0,1900,none,350000,none,none,none,none,none,none,none,none,"732,000",none,none,none
160,באר שבע,אברהם אבינו שכ ד' 23,3,58.0,3.0,1965,none,none,"480,000",none,none,none,none,none,none,none,none,none,none,none
161,באר שבע,אברהם אבינו שכ ד' 27,3,55.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
162,באר שבע,אברהם אבינו שכ ד' 3,3,66.0,1.0,1960,405000,320124,none,"495,000",none,"650,000",none,none,none,none,"700,000",none,none,none
163,באר שבע,אברהם אבינו שכ ד' 31,3,80.0,4.0,1970,337500,"505,000",501200,500000,none,507000,550000,none,none,none,none,none,none,none
164,באר שבע,אברהם אבינו שכ ד' 33,3,50.0,3.0,1900,none,"405,000",537500,none,"650,000",714000,none,none,none,none,none,none,none,none
165,באר שבע,אברהם אבינו שכ ד' 34,3,30.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
166,באר שבע,אברהם אבינו שכ ד' 35,3,42.0,,1900,none,none,none,none,none,"475,000",none,none,none,none,none,none,none,none
167,באר שבע,אברהם אבינו שכ ד' 37,3,50.0,2.0,1980,none,none,none,none,"530,000",none,none,none,none,none,none,none,none,none
168,באר שבע,אברהם אבינו שכ ד' 38,3,75.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
169,באר שבע,אברהם אבינו שכ ד' 39,3,57.0,1.0,1960,none,none,387950,"390,000",none,"570,000",none,none,none,none,none,none,none,none
170,באר שבע,אברהם אבינו שכ ד' 40,3,56.0,1.0,1970,280000,358500,none,437500,"400,000",501500,none,none,none,none,none,none,none,none
171,באר שבע,אברהם אבינו שכ ד' 43,3,40.0,2.0,1960,none,none,none,none,none,none,none,none,none,"665,000",none,none,none,none
172,באר שבע,אברהם אבינו שכ ד' 44,3,64.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
173,באר שבע,אברהם אבינו שכ ד' 45,3,40.0,,1969,none,none,none,none,"380,000","533,000",none,none,none,none,none,none,none,none
174,באר שבע,אברהם אבינו שכ ד' 47,3,60.0,,1960,none,none,none,none,none,none,none,none,none,none,"625,000",none,none,none
175,באר שבע,אברהם אבינו שכ ד' 49,3,44.0,3.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
176,באר שבע,אברהם אבינו שכ ד' 5,3,66.0,2.0,1970,"390,000",none,none,none,none,none,none,none,none,none,none,none,none,none
177,באר שבע,אברהם אבינו שכ ד' 55,3,40.0,2.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
178,באר שבע,אברהם אבינו שכ ד' 57,3,42.0,2.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
179,באר שבע,אברהם אבינו שכ ד' 59,3,42.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
180,באר שבע,אברהם אבינו שכ ד' 6,3,42.0,2.0,1990,none,"398,000",none,none,"717,873",none,none,none,none,none,none,none,none,none
181,באר שבע,אברהם אבינו שכ ד' 60,3,44.0,1.0,1900,none,none,"290,000","390,000","375,000",none,"498,684",none,none,none,none,none,none,none
182,באר שבע,אברהם אבינו שכ ד' 61,3,42.0,,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
183,באר שבע,אברהם אבינו שכ ד' 62,3,44.0,,1970,none,310000,none,"420,000",none,"510,000",none,none,none,none,none,none,none,none
184,באר שבע,אברהם אבינו שכ ד' 63,3,38.0,1.0,1980,none,none,none,none,none,476500,none,none,none,none,none,none,none,none
185,באר שבע,אברהם אבינו שכ ד' 65,3,38.0,2.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
186,באר שבע,אברהם אבינו שכ ד' 67,3,60.0,1.0,1960,none,"210,000",437500,none,"535,000",none,none,none,none,none,none,none,none,none
187,באר שבע,אברהם אבינו שכ ד' 69,3,38.0,2.0,1969,none,none,none,none,none,none,none,none,none,none,"450,000",none,none,none
188,באר שבע,אברהם אבינו שכ ד' 7,3,55.0,1.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
189,באר שבע,אברהם אבינו שכ ד' 71,3,38.0,3.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
190,באר שבע,אברהם אבינו שכ ד' 73,3,52.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
191,באר שבע,אברהם אבינו שכ ד' 75,3,61.0,1.0,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
192,באר שבע,אברהם אבינו שכ ד' 79,3,65.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
193,באר שבע,אברהם אבינו שכ ד' 8,3,80.0,2.0,1970,none,none,"500,000","250,000",none,none,none,none,none,none,none,none,none,none
194,באר שבע,אברהם אבינו שכ ד' 89,3,47.0,1.0,1955,none,none,none,none,none,none,none,none,none,none,none,none,none,none
195,באר שבע,אברהם אבינו שכ ד' 9,3,60.0,1.0,1900,none,none,"425,000",none,none,none,none,none,none,none,none,none,none,none
196,באר שבע,אברהם אמיר 21,3,80.0,4.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
197,באר שבע,אברהם אמיר 45,3,99.0,1.0,2004,none,"675,000",none,none,none,none,none,none,none,none,none,none,none,none
198,באר שבע,אברהם אמיר 51,3,101.0,4.0,2004,none,none,none,none,none,none,none,none,none,none,none,none,none,none
199,באר שבע,אברהם אמיר 58,3,130.0,1.0,1900,none,none,none,none,none,none,none,none,none,none,none,none,none,none
200,באר שבע,אברהם מאפו 10,3,70.0,3.0,2002,none,none,none,none,none,none,none,none,none,none,none,none,none,none
201,באר שבע,אברהם מאפו 11,3,62.0,,2002,none,none,605000,none,none,none,none,none,none,none,none,none,none,none
202,באר שבע,אברהם מאפו 13,3,90.0,,1999,none,none,none,none,none,none,none,none,none,none,none,none,none,none
203,באר שבע,אברהם מאפו 15,3,103.0,3.0,1998,none,none,none,none,833500,none,none,none,none,none,none,none,none,none
204,באר שבע,אברהם מאפו 17,3,74.0,,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
205,באר שבע,אברהם מאפו 2,3,83.0,3.0,1900,none,none,"652,500",none,none,none,none,none,none,none,none,none,none,none
206,באר שבע,אברהם מאפו 23,3,79.0,4.0,1999,"558,500","635,000",none,"780,000",none,none,none,none,none,none,none,none,none,none
