,city,streets,rooms,size,floor,date_builded,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
50,אשדוד,אילת אחי 13,3,54.0,3.0,2000,457500,none,none,none,518835,none,none,none,"1,130,000","1,115,000",none,none,none,none
51,אשדוד,אילת אחי 133,3,54.0,4.0,1975,none,none,none,none,none,none,none,none,none,none,none,none,none,none
52,אשדוד,אילת אחי 14,3,81.0,,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
53,אשדוד,אילת אחי 15,3,54.0,1.0,1970,"555,000","575,000",none,660000,none,"680,000",none,none,none,"283,050",none,none,none,none
54,אשדוד,אילת אחי 17,3,51.0,3.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
55,אשדוד,אילת אחי 18,3,33.0,1.0,2007,none,none,none,none,none,none,none,none,none,none,none,none,none,none
56,אשדוד,אילת אחי 19,3,62.0,3.0,1960,385300,none,none,"700,699","251,600",none,none,none,"1,110,000",none,"168,663",none,none,none
57,אשדוד,אילת אחי 2,3,68.0,3.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
58,אשדוד,אילת אחי 2,3,75.0,,1980,none,none,none,none,none,none,none,none,none,none,none,none,none,none
59,אשדוד,אילת אחי 21,3,54.0,2.0,1970,none,none,"550,000",none,"800,000",none,"800,000",none,none,none,none,none,none,none
60,אשדוד,אילת אחי 23,3,70.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
61,אשדוד,אילת אחי 23,3,54.0,,1970,"140,400",none,none,none,none,"860,000","900,000",none,none,none,none,none,none,none
62,אשדוד,אילת אחי 24,3,40.0,1.0,2013,none,none,none,none,none,none,none,none,none,none,none,none,none,none
63,אשדוד,אילת אחי 26,3,40.0,2.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
64,אשדוד,אילת אחי 3,3,60.0,,1960,none,none,none,none,none,none,none,"1,050,000","1,150,000",none,none,none,none,none
65,אשדוד,אילת אחי 3,3,63.0,2.0,1963,none,none,none,none,none,none,"372,030",none,1052851,none,none,none,none,none
66,אשדוד,אילת אחי 5,3,62.0,,1970,none,none,none,none,none,none,none,none,"1,065,000",none,none,none,none,none
67,אשדוד,אילת אחי 5,3,62.0,3.0,1999,none,none,none,"640,000",none,none,none,1055000,"1,150,000",none,"1,038,750",none,none,none
68,אשדוד,אילת אחי 6,3,122.0,2.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
69,אשדוד,אילת אחי 7,3,54.0,2.0,2000,none,359966,none,none,none,"710,000",none,none,1032500,none,"1,200,000",none,none,none
70,אשדוד,אילת אחי 9,3,42.0,,2000,none,none,none,none,none,"690,000",none,none,none,none,none,none,none,none
71,אשדוד,אלבז,3,59.0,1.0,1975,none,none,none,none,none,none,none,none,none,none,none,none,none,none
72,אשדוד,אלבז 1,3,82.0,4.0,1970,none,none,none,none,none,"830,000",none,none,none,none,none,none,none,none
73,אשדוד,אלבז 15,3,44.0,4.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
74,אשדוד,אלבז 20,3,49.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
75,אשדוד,אלבז 26,3,46.0,4.0,1960,none,none,none,none,none,none,none,none,none,none,none,none,none,none
76,אשדוד,אלבז 28,3,67.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
77,אשדוד,אלבז 31,3,80.0,1.0,1971,none,none,none,none,none,none,none,none,none,none,none,none,none,none
78,אשדוד,אלבז 32,3,67.0,5.0,1975,none,none,none,none,"505,202",none,none,none,none,none,none,none,none,none
79,אשדוד,אלבז 4,3,49.0,4.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
80,אשדוד,אלבז 6,3,59.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
81,אשדוד,אלול 1,3,77.0,2.0,2005,911000,none,"1,065,000",1210390,none,1280000,none,none,"1,500,000",none,"1,670,000",none,none,none
82,אשדוד,אלול 12,3,92.0,,2001,none,none,none,none,none,none,none,none,none,"1,450,000",1575671,none,none,none
83,אשדוד,אלול 14,3,65.0,2.0,1974,"860,000",none,none,none,none,none,none,"1,416,417",none,"1,450,000","1,565,000",none,none,none
84,אשדוד,אלול 16,3,75.0,2.0,2000,none,"1,025,000","1,000,000",990000,none,none,none,none,none,none,"1,586,343",none,none,none
85,אשדוד,אלול 18,3,67.0,4.0,1999,none,none,none,none,none,none,none,none,none,none,none,none,none,none
86,אשדוד,אלול 3,3,119.0,2.0,2000,none,none,none,"1,160,000",none,none,none,none,none,"1,518,000",none,none,none,none
87,אשדוד,אלול 5,3,1.0,,1900,none,none,none,none,"1,350,000",none,none,none,none,none,none,none,none,none
88,אשדוד,אלול 6,3,89.0,6.0,2004,897500,none,none,none,none,none,none,"1,400,000",none,none,"1,720,000",none,none,none
89,אשדוד,אלול 8,3,89.0,1.0,2000,none,none,none,"1,140,000",none,none,none,"1,470,000",none,none,none,none,none,none
90,אשדוד,אלטלנה 53,3,85.0,,1995,none,none,none,none,none,none,none,none,1225000,"1,370,000",none,none,none,none
91,אשדוד,אליאשווילי 2,3,60.0,,1980,none,none,none,none,"865,000",none,none,"1,260,000","1,290,000",none,1140000,none,none,none
92,אשדוד,אליאשוילי 2,3,59.0,4.0,1970,none,none,none,none,"865,000","830,000","1,150,000",1080000,none,none,1140000,none,none,none
93,אשדוד,אליאשוילי 8,3,75.0,2.0,1975,none,"750,000","760,000",none,none,none,none,none,none,none,none,none,none,none
94,אשדוד,אלישע 18,3,64.0,,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
95,אשדוד,אלישע 8,3,81.0,1.0,1993,none,none,none,none,none,none,none,none,none,none,none,none,none,none
96,אשדוד,"אלקלעי,הרב 1",3,71.0,4.0,1998,none,none,none,none,none,none,none,none,none,none,none,none,none,none
97,אשדוד,"אלקלעי,הרב 7",3,80.0,,1996,none,none,none,none,none,none,none,none,none,none,none,none,none,none
98,אשדוד,"אלקלעי,מבוא,הרב 1",3,70.0,3.0,1998,none,none,none,"960,000",none,none,none,none,none,none,none,none,none,none
99,אשדוד,"אלקלעי,מבוא,הרב 5",3,71.0,4.0,2000,none,none,none,none,none,none,none,none,none,none,none,none,none,none
100,אשדוד,אלרואי 3,3,75.0,8.0,2020,none,none,none,none,none,none,none,none,none,1510000,1562500,none,none,none
101,אשדוד,אלרואי 4,3,75.0,2.0,2020,none,none,none,none,none,none,none,none,none,none,none,none,none,none
102,אשדוד,אמציה 11,3,75.0,2.0,1991,none,none,none,none,none,none,none,none,none,none,none,none,none,none
103,אשדוד,אמציה 3,3,61.0,2.0,1991,none,none,none,none,none,none,none,none,none,none,none,none,none,none
104,אשדוד,אמציה 8,3,75.0,4.0,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
105,אשדוד,אפרתי אליהו 5,3,103.0,1.0,1966,none,none,none,none,none,none,none,none,none,none,none,none,none,none
106,אשדוד,אקסודוס 1,3,73.0,1.0,2005,"1,110,000",none,"1,270,000",none,none,none,none,none,none,none,none,none,none,none
107,אשדוד,אקסודוס 12,3,62.0,1.0,2010,"1,400,000",none,"1,350,000",none,none,3090790,none,none,none,none,1782500,none,none,none
108,אשדוד,אקסודוס 14,3,95.0,,2010,none,none,none,none,"1,700,000","1,670,000","1,700,000",none,none,"1,750,000",1782500,none,none,none
109,אשדוד,אקסודוס 15,3,110.0,3.0,2002,none,none,none,none,none,none,none,none,none,none,none,none,none,none
110,אשדוד,אקסודוס 20,3,126.0,,2008,none,none,none,none,"1,700,000","1,670,000","1,700,000",none,none,"1,750,000",none,none,none,none
111,אשדוד,אקסודוס 26,3,115.0,4.0,2003,none,none,none,none,none,none,none,none,none,none,none,none,none,none
112,אשדוד,אקסודוס 3,3,80.0,,2002,none,none,none,none,none,none,none,none,none,none,none,none,none,none
113,אשדוד,אקסודוס 4,3,90.0,13.0,2005,none,none,none,"2,000,000",none,none,none,none,none,none,none,none,none,none
114,אשדוד,אקסודוס 7,3,73.0,,2005,none,none,none,none,none,none,none,none,none,none,none,none,none,none
115,אשדוד,אקסודוס 9,3,110.0,,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
116,אשדוד,ארלוזורוב 1,3,70.0,7.0,2014,none,none,none,none,1171500,none,none,none,none,none,none,none,none,none
117,אשדוד,ארלוזורוב 12,3,84.0,,2006,none,none,none,none,none,none,none,none,none,none,"1,530,000",none,none,none
118,אשדוד,ארלוזורוב 19,3,84.0,8.0,2006,none,none,none,none,none,none,none,none,none,none,1530000,none,none,none
119,אשדוד,ארלוזורוב 23,3,90.0,2.0,1998,none,883333,973400,"800,000",1027000,none,1186250,1300000,1255000,1345000,"1,360,000",none,none,none
120,אשדוד,ארלוזורוב 25,3,61.0,1.0,1999,842500,898750,930000,1010000,1062500,1168468,1232500,none,"1,270,000",1317500,"1,380,000",none,none,none
121,אשדוד,אשדוד 5,3,70.0,1.0,1970,none,none,none,none,none,none,none,none,none,none,none,none,none,none
122,אשדוד,אשכולית 2,3,75.0,5.0,1994,none,none,none,none,none,none,none,none,none,none,none,none,none,none
123,אשדוד,בבלי 25,3,67.0,3.0,1985,none,none,none,none,none,none,none,none,none,none,none,none,none,none
124,אשדוד,בורוכוב 10,3,39.0,,1990,none,none,none,none,none,none,none,none,none,none,none,none,none,none
125,אשדוד,בורוכוב 12,3,75.0,1.0,1975,none,none,none,"795,000","530,000",none,none,none,none,"1,130,000",none,none,none,none
126,אשדוד,בורוכוב 16,3,48.0,,1999,none,none,"562,500",none,none,none,none,"700,000",none,none,none,none,none,none
127,אשדוד,בורוכוב 18,3,59.0,,1970,none,none,none,none,none,none,none,none,none,none,"870,000",none,none,none
128,אשדוד,בורוכוב 20,3,59.0,1.0,1970,"600,000",none,none,none,none,none,none,none,none,none,none,none,none,none
